,tourney_name,surface,winner_name,loser_name,score,w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,result
1195,Rome Masters,Clay,Jannik Sinner,Thanasi Kokkinakis,6-1 6-4,2.0,0.0,26.0,25.0,11.0,3.0,1.0,29.0,19.0,8.0,1
1346,Roland Garros,Clay,Jannik Sinner,Alexandre Muller,6-1 6-4 6-1,5.0,2.0,40.0,33.0,18.0,3.0,0.0,43.0,22.0,13.0,1
1386,Roland Garros,Clay,Daniel Altmaier,Jannik Sinner,6-7(0) 7-6(7) 1-6 7-6(4) 7-5,10.0,6.0,142.0,98.0,27.0,11.0,3.0,110.0,77.0,42.0,0
1431,s Hertogenbosch,Grass,Emil Ruusuvuori,Jannik Sinner,6-3 6-4,2.0,3.0,29.0,29.0,11.0,3.0,1.0,38.0,24.0,10.0,0
1439,s Hertogenbosch,Grass,Jannik Sinner,Alexander Bublik,6-4 6-2,8.0,0.0,32.0,27.0,10.0,9.0,6.0,45.0,29.0,13.0,1
1484,Halle,Grass,Alexander Bublik,Jannik Sinner,7-5 2-0 RET,6.0,1.0,26.0,21.0,6.0,2.0,2.0,22.0,14.0,6.0,0
1491,Halle,Grass,Jannik Sinner,Lorenzo Sonego,6-7(4) 6-4 6-4,10.0,3.0,65.0,53.0,22.0,8.0,1.0,72.0,51.0,21.0,1
1505,Halle,Grass,Jannik Sinner,Richard Gasquet,6-3 5-7 6-2,11.0,2.0,48.0,38.0,24.0,4.0,3.0,79.0,50.0,19.0,1
1627,Wimbledon,Grass,Jannik Sinner,Juan Manuel Cerundolo,6-2 6-2 6-2,7.0,0.0,40.0,33.0,16.0,5.0,3.0,54.0,30.0,14.0,1
1675,Wimbledon,Grass,Jannik Sinner,Diego Schwartzman,7-5 6-1 6-2,15.0,1.0,47.0,38.0,21.0,1.0,2.0,58.0,34.0,9.0,1
1699,Wimbledon,Grass,Jannik Sinner,Quentin Halys,3-6 6-2 6-3 6-4,9.0,8.0,48.0,40.0,31.0,14.0,9.0,61.0,46.0,25.0,1
