match,result,result_detail,unreturned_pct,short_rally_srv_pts_won_pct,return_pts_won_pct,svimpact,blank,dont_know,blank,blank,blank,blank,blank,second_srv_unreturned_pct
2023 Monte Carlo R32,1,W vs Schwartzman,32.00%,0.32,80.00%,32.00%,41.70%,41.70%,71.40%,41.70%,50.00%,50.00%,-,27.30%
2023 Miami F,0,L vs Medvedev,27.00%,0.40,34.80%,33.30%,40.00%,62.90%,47.60%,51.40%,37.50%,42.10%,0.00%,10.70%
2023 Miami SF,1,W vs Alcaraz,35.60%,0.44,46.00%,40.00%,42.40%,54.50%,44.70%,49.40%,42.40%,54.50%,66.70%,26.50%
2023 Miami QF,1,W vs Ruusuvuori,31.00%,0.50,74.10%,39.80%,50.00%,72.70%,90.90%,66.80%,44.40%,69.20%,0.00%,11.10%
2023 Miami R16,1,W vs Rublev,41.30%,0.54,63.00%,44.60%,57.10%,67.90%,66.70%,62.50%,37.50%,55.00%,-,16.70%
2023 Miami R32,1,W vs Dimitrov,28.30%,0.38,45.90%,32.30%,40.60%,50.00%,47.40%,47.20%,57.10%,50.00%,0.00%,10.00%
2023 Miami R64,1,W vs Djere,40.00%,0.44,46.20%,42.00%,55.20%,62.10%,53.80%,58.60%,33.30%,41.20%,100.00%,23.50%
2023 Indian Wells SF,0,L vs Alcaraz,26.40%,0.32,53.10%,31.10%,33.30%,38.90%,66.70%,42.80%,47.10%,57.90%,75.00%,21.90%
2023 Indian Wells R32,1,W vs Mannarino,34.40%,0.44,77.80%,38.90%,48.50%,57.60%,64.70%,56.70%,60.00%,61.10%,-,20.80%
2023 Indian Wells R64,1,W vs Gasquet,31.80%,0.44,61.40%,37.40%,48.60%,62.90%,77.80%,59.10%,42.90%,71.40%,100.00%,13.30%
2023 Rotterdam F,0,L vs Medvedev,14.60%,0.25,48.10%,22.90%,21.80%,40.00%,51.20%,36.40%,43.30%,52.00%,40.00%,5.00%
2023 Rotterdam SF,1,W vs Griekspoor,33.30%,0.41,61.20%,38.90%,43.60%,59.00%,68.20%,54.40%,31.60%,55.00%,-,22.90%
2023 Rotterdam QF,1,W vs Wawrinka,17.30%,0.29,60.50%,24.40%,20.00%,36.70%,66.70%,32.30%,42.90%,37.50%,0.00%,13.60%
2023 Rotterdam R16,1,W vs Tsitsipas,38.60%,0.41,76.90%,41.10%,51.90%,55.60%,76.90%,55.90%,18.20%,68.80%,-,18.80%
2023 Montpellier F,1,W vs Cressy,31.10%,0.44,73.20%,40.00%,34.20%,50.00%,80.00%,48.40%,47.40%,47.40%,50.00%,27.30%
2023 Montpellier SF,1,W vs Fils,34.50%,0.44,65.70%,39.10%,38.20%,52.90%,71.40%,45.60%,46.20%,57.10%,100.00%,30.00%
2023 Australian Open R16,0,L vs Tsitsipas,27.20%,0.35,54.20%,31.80%,35.90%,45.70%,55.90%,42.70%,29.30%,62.70%,66.70%,9.80%
2023 Australian Open R32,1,W vs Fucsovics,22.20%,0.30,52.00%,27.90%,33.30%,43.20%,55.60%,42.70%,47.40%,62.80%,54.50%,6.10%
2023 Australian Open R64,1,W vs Etcheverry,29.40%,0.38,73.30%,35.60%,40.50%,54.80%,80.00%,50.50%,36.80%,69.60%,-,13.00%
2023 Australian Open R128,1,W vs Edmund,32.90%,0.48,54.70%,44.00%,38.90%,59.30%,69.70%,55.70%,28.60%,60.60%,83.30%,23.10%
2023 Adelaide 1 QF,0,L vs Korda,26.40%,0.40,41.70%,32.10%,35.30%,52.90%,50.00%,44.10%,38.90%,56.30%,66.70%,12.50%
2023 Adelaide 1 R16,1,W vs Kokkinakis,21.80%,0.39,59.30%,31.30%,25.90%,43.10%,58.10%,38.60%,25.00%,65.80%,100.00%,11.10%
