tourney_name,surface,winner_name,loser_name,score,w_ace,w_df,w_1stIn,w_1stWon,w_1stWon_rate,w_2ndWon,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,result
Wimbledon,Grass,Jannik Sinner,Diego Schwartzman,7-5 6-1 6-2,15,1,47,38,0.8085106383,21,1,2,58,34,9,1
Wimbledon,Grass,Jannik Sinner,Quentin Halys,3-6 6-2 6-3 6-4,9,8,48,40,0.8333333333,31,14,9,61,46,25,1
Wimbledon,Grass,Jannik Sinner,Daniel Elahi Galan,7-6(4) 6-4 6-3,12,1,48,41,0.8541666667,28,12,3,79,58,18,1
Wimbledon,Grass,Jannik Sinner,Roman Safiullin,6-4 3-6 6-2 6-2,14,2,48,43,0.8958333333,22,8,7,65,39,23,1
Wimbledon,Grass,Novak Djokovic,Jannik Sinner,6-3 6-4 7-6(4),11,0,65,49,0.7538461538,28,8,3,54,41,20,0
Canada Masters,Hard,Jannik Sinner,Alex De Minaur,6-4 6-1,5,3,26,19,0.7307692308,15,1,1,28,13,10,1
Canada Masters,Hard,Jannik Sinner,Tommy Paul,6-4 6-4,4,3,32,25,0.78125,16,3,2,43,26,8,1
Canada Masters,Hard,Jannik Sinner,Gael Monfils,6-4 4-6 6-3,5,3,44,36,0.8181818182,21,19,5,51,41,14,1
Canada Masters,Hard,Jannik Sinner,Matteo Berrettini,6-4 6-3,10,2,41,34,0.8292682927,12,10,2,33,26,8,1
Cincinnati Masters,Hard,Dusan Lajovic,Jannik Sinner,6-4 7-6(4),4,0,58,44,0.7586206897,12,6,0,41,30,22,0
Us Open,Hard,Jannik Sinner,Yannick Hanfmann,6-3 6-1 6-1,5,3,41,32,0.7804878049,20,7,3,63,36,14,1
Us Open,Hard,Jannik Sinner,Lorenzo Sonego,6-4 6-2 6-4,4,1,36,32,0.8888888889,24,4,1,57,36,18,1
Us Open,Hard,Jannik Sinner,Stan Wawrinka,6-3 2-6 6-4 6-2,12,5,73,53,0.7260273973,23,8,4,53,32,29,1
Us Open,Hard,Alexander Zverev,Jannik Sinner,6-4 3-6 6-2 4-6 6-3,16,6,113,79,0.6991150442,24,12,7,86,59,37,0
Beijing,Hard,Jannik Sinner,Daniil Medvedev,7-6(2) 7-6(2),3,0,51,42,0.8235294118,17,6,4,57,43,11,1
Beijing,Hard,Jannik Sinner,Carlos Alcaraz,7-6(4) 6-1,1,0,44,29,0.6590909091,15,4,0,45,27,5,1
Beijing,Hard,Jannik Sinner,Grigor Dimitrov,6-4 3-6 6-2,3,1,50,34,0.68,23,2,3,57,40,20,1
Beijing,Hard,Jannik Sinner,Yoshihito Nishioka,6-2 6-0,8,1,21,19,0.9047619048,11,0,1,33,13,8,1
Beijing,Hard,Jannik Sinner,Daniel Evans,6-4 6-7(2) 6-3,11,2,55,37,0.6727272727,28,2,2,50,32,29,1
Shanghai Masters,Hard,Ben Shelton,Jannik Sinner,2-6 6-3 7-6(5),15,4,74,54,0.7297297297,13,8,1,71,49,14,0
Shanghai Masters,Hard,Jannik Sinner,Sebastian Baez,3-6 6-3 6-2,8,0,49,40,0.8163265306,18,5,1,52,36,9,1
Shanghai Masters,Hard,Jannik Sinner,Marcos Giron,7-6(7) 6-2,4,2,43,34,0.7906976744,10,2,2,44,31,10,1
Vienna,Hard,Jannik Sinner,Andrey Rublev,7-5 7-6(5),10,4,45,37,0.8222222222,15,4,2,55,39,9,1
Vienna,Hard,Jannik Sinner,Frances Tiafoe,6-3 6-4,5,1,38,32,0.8421052632,12,6,2,31,20,14,1
Vienna,Hard,Jannik Sinner,Lorenzo Sonego,6-2 6-4,1,0,48,35,0.7291666667,6,6,2,41,25,11,1
Vienna,Hard,Jannik Sinner,Ben Shelton,7-6(2) 7-5,8,1,57,48,0.8421052632,8,11,4,44,38,16,1
Vienna,Hard,Jannik Sinner,Daniil Medvedev,7-6(7) 4-6 6-3,5,0,86,55,0.6395348837,16,13,8,88,57,18,1
Paris Masters,Hard,Jannik Sinner,Mackenzie Mcdonald,6-7(6) 7-5 6-1,4,2,48,41,0.8541666667,23,8,2,60,38,18,1
Tour Finals,Hard,Novak Djokovic,Jannik Sinner,6-3 6-3,13,0,32,29,0.90625,9,8,1,49,28,12,0
Tour Finals,Hard,Jannik Sinner,Daniil Medvedev,6-3 6-7(4) 6-1,10,2,60,50,0.8333333333,21,10,2,55,44,12,1
Tour Finals,Hard,Jannik Sinner,Novak Djokovic,7-5 6-7(5) 7-6(2),15,2,71,56,0.7887323944,26,20,1,63,51,22,1
Tour Finals,Hard,Jannik Sinner,Stefanos Tsitsipas,6-4 6-4,9,2,36,32,0.8888888889,9,6,0,37,26,14,1
Tour Finals,Hard,Jannik Sinner,Holger Rune,6-2 5-7 6-4,11,0,49,41,0.8367346939,21,15,3,70,50,16,1
Davis Cup Finals F: AUS vs ITA,Hard,Jannik Sinner,Alex De Minaur,6-3 6-0,5,1,34,25,0.7352941176,7,2,1,33,18,9,1
Davis Cup Finals QF: ITA vs NED,Hard,Jannik Sinner,Tallon Griekspoor,7-6(3) 6-1,9,1,32,29,0.90625,15,7,1,42,26,11,1
Davis Cup Finals SF: ITA vs SRB,Hard,Jannik Sinner,Novak Djokovic,6-2 2-6 7-5,12,5,67,48,0.7164179104,17,6,1,46,35,18,1
