"date","tournament","surface","five_set","player_A_name","player_B_name","player_A_elo_before","player_B_elo_before","player_A_win","elo_difference","player_A_cluster","player_B_cluster","predict_proba_R","predict_R"
20230424,"Madrid Masters","Clay",FALSE,"Bernabe Zapata Miralles","Stefanos Tsitsipas",1546.78085229987,1661.4708957634,0,-114.690043463527,0,2,0.408948662130907,0
20230320,"Miami Masters","Hard",FALSE,"Diego Schwartzman","Holger Rune",1457.48142174002,1571.64025316806,0,-114.158831428036,1,0,0.307448344016645,0
20230807,"Canada Masters","Hard",FALSE,"Alejandro Davidovich Fokina","Alexander Zverev",1571.30150500135,1685.2431947715,1,-113.941689770147,1,0,0.30770847071504,0
20231122,"Davis Cup Finals QF: CZE vs AUS","Hard",FALSE,"Jiri Lehecka","Alex De Minaur",1560.40765336334,1673.74468117101,0,-113.337027807667,0,1,0.368143648022081,0
20231030,"Paris Masters","Hard",FALSE,"Botic Van De Zandschulp","Tommy Paul",1503.63601710293,1615.97810613136,1,-112.342089028434,1,1,0.349242502916064,0
20230306,"Indian Wells Masters","Hard",FALSE,"Arthur Rinderknech","Jiri Lehecka",1458.65920578318,1570.75549728774,0,-112.096291504554,0,0,0.329003387074539,0
20231002,"Shanghai Masters","Hard",FALSE,"Lorenzo Sonego","Nicolas Jarry",1530.1916831371,1641.81534751032,0,-111.623664373227,0,0,0.329590540925952,0
20230529,"Roland Garros","Clay",TRUE,"Pedro Martinez","Tallon Griekspoor",1407.55122152818,1518.92839775375,0,-111.377176225574,1,2,0.293020872855235,0
20231113,"Tour Finals","Hard",FALSE,"Jannik Sinner","Novak Djokovic",1812.05736306598,1923.25140497139,1,-111.194041905409,0,0,0.330124731084,0
20230916,"Davis Cup Finals RR: CAN vs CHI","Hard",FALSE,"Gabriel Diallo","Nicolas Jarry",1501.30872165716,1612.187909281,0,-110.879187623846,0,0,0.330516497790827,0
20230213,"Rotterdam","Hard",FALSE,"Alexander Zverev","Tallon Griekspoor",1476.97816240062,1587.51812998507,0,-110.539967584443,0,0,0.330938845566265,0
20231023,"Vienna","Hard",FALSE,"Dominic Thiem","Stefanos Tsitsipas",1510.95053069177,1621.44624507506,0,-110.495714383286,1,0,0.311852893859316,0
20231016,"Tokyo","Hard",FALSE,"Aslan Karatsev","Alex De Minaur",1563.27570231207,1673.3728174938,1,-110.097115181736,0,1,0.372392945399446,0
20230731,"Washington","Hard",FALSE,"Ugo Humbert","Grigor Dimitrov",1522.97854434652,1632.72610171347,0,-109.747557366949,0,0,0.331926501430562,0
20230424,"Madrid Masters","Clay",FALSE,"Marc Andrea Huesler","Cristian Garin",1456.85175506375,1566.34456167144,0,-109.492806607693,2,1,0.333116811370896,0
20230213,"Rotterdam","Hard",FALSE,"Stan Wawrinka","Jannik Sinner",1481.66565987471,1590.91796809405,0,-109.252308219337,0,0,0.332544529739525,0
20230220,"Marseille","Hard",FALSE,"Alexander Bublik","Gregoire Barrere",1405.58304924858,1514.74663195901,1,-109.163582710429,0,0,0.332655312515668,0
20230424,"Madrid Masters","Clay",FALSE,"Alejandro Davidovich Fokina","Holger Rune",1568.07189528935,1677.04482977837,1,-108.972934489025,1,1,0.353561790204006,0
20231023,"Vienna","Hard",FALSE,"Tomas Machac","Stefanos Tsitsipas",1522.96218775789,1631.83034649955,0,-108.868158741656,1,0,0.313820906684877,0
20230626,"Eastbourne","Grass",FALSE,"Mackenzie Mcdonald","Francisco Cerundolo",1518.79049245355,1627.07838085709,0,-108.287888403541,0,0,0.333749696687227,0
20230529,"Roland Garros","Clay",TRUE,"Francisco Cerundolo","Holger Rune",1585.96736702926,1693.83899171928,0,-107.871624690021,1,1,0.263749156457955,0
20230703,"Wimbledon","Grass",TRUE,"Matteo Berrettini","Alex De Minaur",1492.27151812906,1600.11543294243,1,-107.843914813365,1,0,0.230446376576868,0
20231106,"Metz","Hard",FALSE,"Alexander Shevchenko","Ugo Humbert",1547.07143346721,1654.75819977938,0,-107.686766312171,1,0,0.315253638592332,0
20230424,"Madrid Masters","Clay",FALSE,"Stan Wawrinka","Andrey Rublev",1547.82877257592,1655.35420043723,0,-107.525427861312,1,2,0.397524350181538,0
20230116,"Australian Open","Hard",TRUE,"Alex De Minaur","Novak Djokovic",1514.94547798297,1622.15568390278,0,-107.210205919818,1,0,0.231527589921192,0
20230529,"Roland Garros","Clay",TRUE,"Daniel Altmaier","Grigor Dimitrov",1468.69002033969,1575.43238576376,0,-106.74236542407,1,2,0.302327365631794,0
20230828,"Us Open","Hard",TRUE,"Daniil Medvedev","Carlos Alcaraz",1746.71118406475,1853.32140468412,1,-106.610220619378,1,0,0.232554527186513,0
20230529,"Roland Garros","Clay",TRUE,"David Goffin","Hubert Hurkacz",1462.58533730237,1569.14187472704,0,-106.556537424672,1,2,0.302703977901203,0
20230717,"Gstaad","Clay",FALSE,"Dominic Thiem","Alexandre Muller",1428.19308141797,1534.36635313303,1,-106.173271715064,1,1,0.357169296514331,0
20230731,"Kitzbuhel","Clay",FALSE,"Dominic Thiem","Laslo Djere",1485.60598479728,1591.77324585577,1,-106.167261058489,1,1,0.35717705916593,0
20230612,"s Hertogenbosch","Grass",FALSE,"Emil Ruusuvuori","Jannik Sinner",1566.73336028159,1672.78746179419,1,-106.054101512604,0,1,0.377723264405633,0
20230424,"Madrid Masters","Clay",FALSE,"Jan Lennard Struff","Dusan Lajovic",1527.56147170895,1633.43358268802,1,-105.872110979065,2,1,0.337656407356284,0
20230410,"Monte Carlo Masters","Clay",FALSE,"Jan Lennard Struff","Andrey Rublev",1494.26757000563,1599.46649073108,0,-105.198920725455,2,2,0.379779844548513,0
20231106,"Sofia","Hard",FALSE,"Max Purcell","Rinky Hijikata",1422.76559914067,1527.70566065464,1,-104.940061513976,0,1,0.379197289615266,0
20230717,"Gstaad","Clay",FALSE,"Albert Ramos","Miomir Kecmanovic",1396.56999230726,1501.46554437718,1,-104.895552069921,1,1,0.358821128341346,0
20230306,"Indian Wells Masters","Hard",FALSE,"Adrian Mannarino","Jannik Sinner",1515.77551501733,1620.56287782106,0,-104.787362803731,1,0,0.318784776713712,0
20230529,"Roland Garros","Clay",TRUE,"Diego Schwartzman","Bernabe Zapata Miralles",1436.07346960079,1540.79223386441,1,-104.718764263617,1,0,0.235812691497289,0
20231016,"Antwerp","Hard",FALSE,"Hugo Gaston","Jan Lennard Struff",1457.90597820155,1562.39864647497,1,-104.492668273425,1,0,0.319144857313291,0
20231030,"Paris Masters","Hard",FALSE,"Alexei Popyrin","Nicolas Jarry",1550.68319138508,1655.11380699987,0,-104.430615614785,0,0,0.338591490408301,0
20230220,"Doha","Hard",FALSE,"Quentin Halys","Tallon Griekspoor",1504.67864202649,1608.88389482374,0,-104.205252797248,0,0,0.338875434113251,0
20230626,"Eastbourne","Grass",FALSE,"Zhizhen Zhang","Francisco Cerundolo",1512.26870979916,1616.44595909303,0,-104.177249293863,1,0,0.319530499919971,0
20230724,"Hamburg","Clay",FALSE,"Laslo Djere","Lorenzo Musetti",1519.30429571943,1623.47475168884,1,-104.170455969407,1,1,0.359760024741818,0
20230828,"Us Open","Hard",TRUE,"Yoshihito Nishioka","Stan Wawrinka",1484.40153992725,1588.44915277444,0,-104.047612847189,1,0,0.236976354669854,0
20230320,"Miami Masters","Hard",FALSE,"Yosuke Watanuki","Frances Tiafoe",1501.87384177282,1605.87886315298,0,-104.005021380165,0,0,0.339127811087192,0
20230828,"Us Open","Hard",TRUE,"Zhizhen Zhang","Casper Ruud",1525.68988181184,1629.35262443458,1,-103.662742622733,0,0,0.253912372225625,0
20230220,"Doha","Hard",FALSE,"Damir Dzumhur","Jiri Lehecka",1469.53649701735,1573.11292612957,0,-103.576429112217,1,0,0.320265767461184,0
20230403,"Marrakech","Clay",FALSE,"Andrea Vavassori","Nicolas Jarry",1498.13961319167,1601.54023872221,1,-103.400625530539,1,2,0.403094104123597,0
20230717,"Newport","Grass",FALSE,"Constant Lestienne","James Duckworth",1397.18063959134,1500,0,-102.819360408664,0,0,0.340624120301686,0
20231030,"Paris Masters","Hard",FALSE,"Alexandre Muller","Roman Safiullin",1461.06502333901,1563.7532751953,0,-102.68825185629,1,0,0.32135433129906,0
20230626,"Eastbourne","Grass",FALSE,"Maxime Cressy","Zhizhen Zhang",1399.32624684851,1501.6362880351,0,-102.31004118659,2,1,0.342151891774417,0
20230417,"Barcelona","Clay",FALSE,"Diego Schwartzman","Yibing Wu",1446.12972609901,1548.06666687609,1,-101.936940777079,1,0,0.322276668530596,0
20230724,"Atlanta","Hard",FALSE,"Andres Martin","Christopher Eubanks",1500,1601.67748082238,0,-101.677480822377,2,0,0.303719628864126,0
20230508,"Rome Masters","Clay",FALSE,"Grigor Dimitrov","Novak Djokovic",1555.28645354734,1656.54221573855,0,-101.255762191207,2,2,0.3850180087438,0
20230731,"Washington","Hard",FALSE,"Aslan Karatsev","Frances Tiafoe",1542.74769318466,1643.83526887934,0,-101.087575694679,0,0,0.342815355703604,0
