"date","tournament","surface","five_set","player_A_name","player_B_name","player_A_elo_before","player_B_elo_before","player_A_win","elo_difference","surface_cluster_A","surface_cluster_B","predict_proba_R","predict_R"
20220822,"Winston-Salem","Hard",FALSE,"Ilya Ivashka","Marc Andrea Huesler",1534.97996864129,1445.45145286965,0,89.5285157716405,2,2,0.576703091012227,1
20231127,"NextGen Finals","Hard",FALSE,"Hamad Medjedovic","Abedallah Shelbayh",1546.8576998036,1457.03852946906,1,89.8191703345451,2,1,0.619229586515721,1
20230731,"Kitzbuhel","Clay",FALSE,"Laslo Djere","Thiago Seyboth Wild",1603.0977540256,1513.09614700863,1,90.001607016977,1,1,0.5383552442678,1
20221114,"Tour Finals","Hard",FALSE,"Felix Auger Aliassime","Casper Ruud",1770.12781681428,1679.97487880075,0,90.1529380135273,3,1,0.694448477358499,1
20220718,"Hamburg","Clay",FALSE,"Francisco Cerundolo","Lorenzo Musetti",1598.91065419931,1508.75697574663,0,90.1536784526843,3,3,0.615238776630021,1
20220404,"Houston","Clay",FALSE,"Reilly Opelka","John Isner",1621.53452362251,1531.35702475274,1,90.1774988697709,1,3,0.450870293698141,0
20230320,"Miami Masters","Hard",FALSE,"Yoshihito Nishioka","Alex Molcan",1590.5081936549,1500.33051689528,0,90.1776767596198,1,3,0.450870478293588,0
20230917,"Davis Cup Finals RR: CRO vs NED","Hard",FALSE,"Tallon Griekspoor","Borna Gojo",1627.25143478318,1537.04388063033,0,90.2075541528511,3,2,0.655977829909644,1
20230920,"Zhuhai","Hard",FALSE,"Karen Khachanov","Sebastian Korda",1705.73767739207,1615.47778039427,1,90.2598969978001,3,3,0.615344156170552,1
20230109,"Adelaide 2","Hard",FALSE,"Roberto Bautista Agut","Soon Woo Kwon",1637.53674478304,1547.24302024588,0,90.2937245371575,3,2,0.656059328931401,1
20220829,"Us Open","Hard",TRUE,"Casper Ruud","Karen Khachanov",1676.67461898607,1586.31532176606,1,90.3592972200147,1,3,0.530162121860245,1
20230626,"Eastbourne","Grass",FALSE,"Ryan Peniston","Marc Andrea Huesler",1524.90676961051,1434.51595992572,0,90.3908096847904,0,2,0.41246741210261,0
20230724,"Hamburg","Clay",FALSE,"Yannick Hanfmann","Zhizhen Zhang",1617.79858541779,1527.40449245083,0,90.3940929669641,1,1,0.538764049751521,1
20220829,"Us Open","Hard",TRUE,"Borna Coric","Enzo Couacaud",1577.50163728747,1486.99189063053,1,90.5097466569364,1,0,0.656869963581744,1
20221107,"NextGen Finals","Hard",FALSE,"Dominic Stricker","Jiri Lehecka",1564.96662756926,1474.25667266586,0,90.7099549034078,1,3,0.451422881118816,0
20220620,"Eastbourne","Grass",FALSE,"Taylor Fritz","Alexander Bublik",1609.22204723351,1518.38817140577,1,90.8338758277389,3,3,0.615913413761816,1
20221024,"Basel","Hard",FALSE,"Holger Rune","Arthur Rinderknech",1651.35417598626,1560.50202991753,1,90.8521460687289,3,3,0.615931528516875,1
20230403,"Estoril","Clay",FALSE,"Roberto Bautista Agut","Quentin Halys",1566.45790403827,1475.57815946387,0,90.8797445743946,3,3,0.615958891540045,1
20220411,"Monte Carlo Masters","Clay",FALSE,"Cameron Norrie","Albert Ramos",1604.53095835734,1513.60262551483,0,90.9283328425145,3,1,0.695137630729782,1
20221031,"Paris Masters","Hard",FALSE,"Pablo Carreno Busta","Albert Ramos",1599.40236999327,1508.4718756694,1,90.9304943238735,3,1,0.695139550585488,1
20221031,"Paris Masters","Hard",FALSE,"Denis Shapovalov","Francisco Cerundolo",1630.62963554377,1539.6723176926,1,90.9573178511666,3,3,0.61603579899601,1
20220523,"Roland Garros","Clay",TRUE,"Karen Khachanov","Hugo Dellien",1539.260231681,1448.16759928202,1,91.0926323989875,3,1,0.758541599882589,1
20220523,"Roland Garros","Clay",TRUE,"David Goffin","Jiri Lehecka",1560.64124367757,1469.4291007823,1,91.2121428952682,3,3,0.688690783940969,1
20230724,"Hamburg","Clay",FALSE,"Francisco Cerundolo","Yannick Hanfmann",1690.29427880225,1598.94307669991,0,91.3512021023337,3,1,0.695513099386123,1
20230403,"Estoril","Clay",FALSE,"Alessandro Giannessi","Fabio Fognini",1484.37330155343,1393.01926481803,0,91.354036735404,0,1,0.456626834496352,0
