,player_name,total_matches,total_wins,win_pct,Clay,Grass,Hard,clay_advantage,grass_advantage,hard_advantage
178,Guido Pella,22,9,0.4090909090909091,4.0,3.0,2.0,0.4444444444444444,0.3333333333333333,0.2222222222222222
179,Gunawan Trismuwantara,2,0,0.0,0.0,0.0,0.0,,,
180,Gustavo Heide,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
181,Hady Habib,2,1,0.5,1.0,0.0,0.0,1.0,0.0,0.0
182,Hamad Medjedovic,19,12,0.631578947368421,3.0,0.0,9.0,0.25,0.0,0.75
183,Harold Mayot,5,3,0.6,0.0,1.0,2.0,0.0,0.3333333333333333,0.6666666666666666
184,Henrique Rocha,1,0,0.0,0.0,0.0,0.0,,,
185,Hernando Jose Escurra Isnardi,1,0,0.0,0.0,0.0,0.0,,,
186,Holger Rune,70,46,0.6571428571428571,18.0,7.0,21.0,0.391304347826087,0.15217391304347827,0.45652173913043476
187,Hong Kit Jack Wong,1,0,0.0,0.0,0.0,0.0,,,
188,Hubert Hurkacz,68,45,0.6617647058823529,5.0,6.0,34.0,0.1111111111111111,0.13333333333333333,0.7555555555555555
189,Hugo Dellien,17,5,0.29411764705882354,5.0,0.0,0.0,1.0,0.0,0.0
190,Hugo Gaston,14,5,0.35714285714285715,2.0,0.0,3.0,0.4,0.0,0.6
191,Hugo Grenier,6,2,0.3333333333333333,2.0,0.0,0.0,1.0,0.0,0.0
192,Ignacio Buse,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0
193,Ignacio Carou,1,0,0.0,0.0,0.0,0.0,,,
194,Illya Marchenko,1,0,0.0,0.0,0.0,0.0,,,
195,Ilya Ivashka,27,9,0.3333333333333333,3.0,1.0,5.0,0.3333333333333333,0.1111111111111111,0.5555555555555556
196,Ivan Gakhov,2,1,0.5,1.0,0.0,0.0,1.0,0.0,0.0
197,J J Wolf,51,26,0.5098039215686274,5.0,3.0,18.0,0.19230769230769232,0.11538461538461539,0.6923076923076923
198,Jack Draper,31,19,0.6129032258064516,3.0,0.0,16.0,0.15789473684210525,0.0,0.8421052631578947
199,Jack Sock,6,2,0.3333333333333333,0.0,0.0,2.0,0.0,0.0,1.0
200,Jacob Bicknell,1,0,0.0,0.0,0.0,0.0,,,
201,Jacopo Berrettini,2,1,0.5,0.0,0.0,1.0,0.0,0.0,1.0
202,Jakub Mensik,4,3,0.75,0.0,0.0,3.0,0.0,0.0,1.0
203,James Duckworth,7,2,0.2857142857142857,0.0,1.0,1.0,0.0,0.5,0.5
204,Jan Choinski,5,1,0.2,0.0,1.0,0.0,0.0,1.0,0.0
205,Jan Lennard Struff,37,20,0.5405405405405406,9.0,5.0,6.0,0.45,0.25,0.3
206,Jannik Sinner,84,66,0.7857142857142857,8.0,8.0,50.0,0.12121212121212122,0.12121212121212122,0.7575757575757576
207,Jason Jung,3,1,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0
208,Jason Kubler,28,13,0.4642857142857143,5.0,1.0,7.0,0.38461538461538464,0.07692307692307693,0.5384615384615384
209,Jaume Munar,34,15,0.4411764705882353,13.0,1.0,1.0,0.8666666666666667,0.06666666666666667,0.06666666666666667
210,Jenson Brooksby,7,5,0.7142857142857143,0.0,0.0,5.0,0.0,0.0,1.0
211,Jeremy Chardy,5,1,0.2,0.0,0.0,1.0,0.0,0.0,1.0
212,Jesper De Jong,1,0,0.0,0.0,0.0,0.0,,,
213,Jie Cui,2,0,0.0,0.0,0.0,0.0,,,
214,Jiri Lehecka,61,35,0.5737704918032787,8.0,5.0,22.0,0.22857142857142856,0.14285714285714285,0.6285714285714286
215,Jiri Vesely,7,3,0.42857142857142855,0.0,1.0,2.0,0.0,0.3333333333333333,0.6666666666666666
216,Joao Fonseca,1,0,0.0,0.0,0.0,0.0,,,
217,Joao Sousa,13,4,0.3076923076923077,3.0,0.0,1.0,0.75,0.0,0.25
218,Joaquin  Aguilar Cardozo ,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0
