,player_name,surface,cluster
0,Abedallah Shelbayh,Clay,0
269,Abedallah Shelbayh,Hard,2
270,Adam Neff,Hard,2
1,Adam Walton,Clay,0
617,Adam Walton,Grass,0
271,Adam Walton,Hard,0
2,Adria Soriano Barrera,Clay,2
3,Adrian Mannarino,Clay,1
618,Adrian Mannarino,Grass,0
272,Adrian Mannarino,Hard,1
619,Aisam Ul Haq Qureshi,Grass,1
273,Ajeet Rai,Hard,1
274,Alan Fernando Rubio Fierros,Hard,1
4,Albert Ramos,Clay,1
275,Albert Ramos,Hard,1
5,Alec Beckley,Clay,1
6,Alejandro Davidovich Fokina,Clay,1
620,Alejandro Davidovich Fokina,Grass,1
276,Alejandro Davidovich Fokina,Hard,1
7,Alejandro Moro Canas,Clay,0
621,Alejandro Moro Canas,Grass,0
8,Alejandro Tabilo,Clay,2
622,Alejandro Tabilo,Grass,1
277,Alejandro Tabilo,Hard,0
9,Aleksandar Kovacevic,Clay,2
623,Aleksandar Kovacevic,Grass,0
278,Aleksandar Kovacevic,Hard,0
10,Aleksandar Vukic,Clay,1
624,Aleksandar Vukic,Grass,0
279,Aleksandar Vukic,Hard,0
280,Aleksandre Bakshi,Hard,1
625,Alex Bolt,Grass,0
281,Alex Bolt,Hard,0
11,Alex De Minaur,Clay,1
626,Alex De Minaur,Grass,0
282,Alex De Minaur,Hard,1
12,Alex Knaff,Clay,1
283,Alex Knaff,Hard,0
13,Alex Michelsen,Clay,1
627,Alex Michelsen,Grass,1
284,Alex Michelsen,Hard,1
14,Alex Molcan,Clay,1
285,Alexander Blockx,Hard,1
15,Alexander Bublik,Clay,2
628,Alexander Bublik,Grass,1
286,Alexander Bublik,Hard,0
16,Alexander Ritschard,Clay,0
17,Alexander Shevchenko,Clay,1
629,Alexander Shevchenko,Grass,0
287,Alexander Shevchenko,Hard,1
18,Alexander Zverev,Clay,2
630,Alexander Zverev,Grass,1
288,Alexander Zverev,Hard,0
19,Alexandre Muller,Clay,1
631,Alexandre Muller,Grass,0
289,Alexandre Muller,Hard,1
20,Alexei Popyrin,Clay,2
632,Alexei Popyrin,Grass,1
290,Alexei Popyrin,Hard,0
291,Alexey Vatutin,Hard,1
292,Alibek Kachmazov,Hard,0
293,Altug Celikbilek,Hard,2
21,Alvaro Guillen Meza,Clay,1
22,Amr Elsayed Abdou Ahmed Mohamed,Clay,1
23,Andrea Collarini,Clay,1
24,Andrea Pellegrino,Clay,1
25,Andrea Vavassori,Clay,1
294,Andrea Vavassori,Hard,0
295,Andrej Nedic,Hard,2
26,Andres Andrade,Clay,1
296,Andres Andrade,Hard,0
297,Andres Martin,Hard,2
27,Andrey Rublev,Clay,2
633,Andrey Rublev,Grass,0
298,Andrey Rublev,Hard,0
28,Andy Murray,Clay,1
634,Andy Murray,Grass,0
299,Andy Murray,Hard,1
300,Anthony Susanto,Hard,2
301,Antoine Escoffier,Hard,1
635,Aqeel Khan,Grass,0
302,Aqeel Khan,Hard,1
303,Aristotelis Thanos,Hard,1
29,Arthur Cazaux,Clay,1
636,Arthur Cazaux,Grass,0
304,Arthur Cazaux,Hard,0
637,Arthur Fery,Grass,2
30,Arthur Fils,Clay,1
638,Arthur Fils,Grass,0
305,Arthur Fils,Hard,0
31,Arthur Rinderknech,Clay,2
639,Arthur Rinderknech,Grass,1
306,Arthur Rinderknech,Hard,0
32,Aslan Karatsev,Clay,1
640,Aslan Karatsev,Grass,0
307,Aslan Karatsev,Hard,0
33,August Holmgren,Clay,2
34,Aziz Dougaz,Clay,1
308,Aziz Dougaz,Hard,0
309,Beibit Zhukayev,Hard,0
35,Ben Shelton,Clay,2
641,Ben Shelton,Grass,1
310,Ben Shelton,Hard,0
311,Benedict Badza,Hard,0
36,Benjamin Balleret,Clay,1
37,Benjamin Bonzi,Clay,1
312,Benjamin Bonzi,Hard,0
38,Benjamin Hassan,Clay,1
313,Benjamin Hassan,Hard,2
314,Benjamin Lock,Hard,0
39,Benoit Paire,Clay,0
642,Benoit Paire,Grass,2
315,Benoit Paire,Hard,0
40,Bernabe Zapata Miralles,Clay,0
316,Bernabe Zapata Miralles,Hard,1
643,Billy Harris,Grass,0
317,Billy Harris,Hard,1
318,Blaise Bicknell,Hard,1
41,Boris Arias,Clay,2
42,Borna Coric,Clay,1
644,Borna Coric,Grass,0
319,Borna Coric,Hard,0
320,Borna Gojo,Hard,0
43,Botic Van De Zandschulp,Clay,1
645,Botic Van De Zandschulp,Grass,2
321,Botic Van De Zandschulp,Hard,1
322,Brandon Holt,Hard,1
44,Brandon Nakashima,Clay,2
646,Brandon Nakashima,Grass,1
323,Brandon Nakashima,Hard,0
324,Branko Djuric,Hard,0
325,Bu Yunchaokete,Hard,0
45,Cameron Norrie,Clay,1
647,Cameron Norrie,Grass,1
326,Cameron Norrie,Hard,0
46,Camilo Ugo Carabelli,Clay,0
327,Camilo Ugo Carabelli,Hard,2
47,Carlos Alcaraz,Clay,1
648,Carlos Alcaraz,Grass,0
328,Carlos Alcaraz,Hard,0
48,Carlos Taberner,Clay,0
49,Casper Ruud,Clay,1
649,Casper Ruud,Grass,0
329,Casper Ruud,Hard,0
330,Cem Ilkel,Hard,2
50,Cesar Cruz,Clay,0
331,Cezar Cretu,Hard,1
332,Chak Lam Coleman Wong,Hard,1
650,Charles Broom,Grass,2
51,Chris Rodesch,Clay,2
333,Chris Rodesch,Hard,0
52,Christopher Eubanks,Clay,2
651,Christopher Eubanks,Grass,1
334,Christopher Eubanks,Hard,0
53,Christopher Oconnell,Clay,1
652,Christopher Oconnell,Grass,0
335,Christopher Oconnell,Hard,0
54,Chun Hsin Tseng,Clay,1
336,Chun Hsin Tseng,Hard,1
653,Coleman Wong,Grass,2
337,Coleman Wong,Hard,0
55,Conor Gannon,Clay,0
56,Constant Lestienne,Clay,0
654,Constant Lestienne,Grass,0
338,Constant Lestienne,Hard,1
57,Corentin Moutet,Clay,1
339,Corentin Moutet,Hard,1
340,Courtney John Lock,Hard,2
58,Cristian Garin,Clay,1
655,Cristian Garin,Grass,1
341,Cristian Garin,Hard,0
342,Dalibor Svrcina,Hard,2
343,Damir Dzumhur,Hard,1
344,Dane Sweeny,Hard,1
59,Daniel Altmaier,Clay,1
656,Daniel Altmaier,Grass,0
345,Daniel Altmaier,Hard,0
346,Daniel Cukierman,Hard,1
60,Daniel Elahi Galan,Clay,1
657,Daniel Elahi Galan,Grass,0
347,Daniel Elahi Galan,Hard,1
61,Daniel Evans,Clay,1
658,Daniel Evans,Grass,2
348,Daniel Evans,Hard,1
62,Daniel Rincon,Clay,1
63,Daniel Vallejo,Clay,2
349,Daniels Tens,Hard,2
64,Daniil Medvedev,Clay,1
659,Daniil Medvedev,Grass,1
350,Daniil Medvedev,Hard,1
351,Darian King,Hard,1
65,Darwin Blanch,Clay,0
352,Darwin Blanch,Hard,2
66,David Goffin,Clay,1
660,David Goffin,Grass,2
353,David Goffin,Hard,1
67,David Jorda Sanchis,Clay,2
354,Davis Rolis,Hard,1
68,Denis Kudla,Clay,1
355,Denis Kudla,Hard,1
69,Denis Shapovalov,Clay,2
661,Denis Shapovalov,Grass,0
356,Denis Shapovalov,Hard,0
70,Denis Yevseyev,Clay,1
357,Denis Yevseyev,Hard,2
358,Diego Duran,Hard,1
71,Diego Schwartzman,Clay,1
359,Diego Schwartzman,Hard,1
360,Dimitar Kuzmanov,Hard,2
361,Dino Prizmic,Hard,1
72,Dmitry Popko,Clay,1
73,Dominic Stricker,Clay,2
662,Dominic Stricker,Grass,0
362,Dominic Stricker,Hard,0
74,Dominic Thiem,Clay,1
663,Dominic Thiem,Grass,0
363,Dominic Thiem,Hard,1
75,Dominik Koepfer,Clay,1
664,Dominik Koepfer,Grass,0
364,Dominik Koepfer,Hard,1
76,Duje Ajdukovic,Clay,1
365,Duje Ajdukovic,Hard,0
77,Dusan Lajovic,Clay,1
665,Dusan Lajovic,Grass,1
366,Dusan Lajovic,Hard,1
367,Eero Vasa,Hard,1
368,Egor Gerasimov,Hard,0
78,Elias Ymer,Clay,0
666,Elias Ymer,Grass,2
369,Elias Ymer,Hard,0
667,Eliot Spizzirri,Grass,0
370,Eliot Spizzirri,Hard,2
79,Elliot Benchetrit,Clay,1
371,Elliot Benchetrit,Hard,1
80,Elmer Moller,Clay,1
81,Emil Ruusuvuori,Clay,1
668,Emil Ruusuvuori,Grass,0
372,Emil Ruusuvuori,Hard,1
82,Emilio Gomez,Clay,0
669,Emilio Nava,Grass,0
373,Emilio Nava,Hard,0
83,Enzo Couacaud,Clay,1
84,Ernesto Escobedo,Clay,0
374,Ernesto Escobedo,Hard,1
670,Ethan Quinn,Grass,0
375,Ethan Quinn,Hard,1
85,Fabian Marozsan,Clay,1
671,Fabian Marozsan,Grass,0
376,Fabian Marozsan,Hard,1
86,Fabio Fognini,Clay,1
672,Fabio Fognini,Grass,2
377,Fabio Fognini,Hard,1
87,Facundo Bagnis,Clay,1
88,Facundo Diaz Acosta,Clay,1
