,player_name,surface,cluster
0,Adrian Mannarino,Clay,1
227,Adrian Mannarino,Grass,0
386,Adrian Mannarino,Hard,2
228,Aisam Ul Haq Qureshi,Grass,1
229,Alastair Gray,Grass,0
1,Albert Ramos,Clay,0
230,Albert Ramos,Grass,0
387,Albert Ramos,Hard,2
2,Alejandro Davidovich Fokina,Clay,2
231,Alejandro Davidovich Fokina,Grass,0
388,Alejandro Davidovich Fokina,Hard,2
389,Alejandro Gonzalez,Hard,1
3,Alejandro Tabilo,Clay,0
232,Alejandro Tabilo,Grass,2
390,Alejandro Tabilo,Hard,0
391,Aleksandar Kovacevic,Hard,0
392,Aleksandar Vukic,Hard,2
393,Aleksandre Bakshi,Hard,1
394,Aleksandre Metreveli,Hard,2
4,Alessandro Giannessi,Clay,2
395,Alex Bolt,Hard,0
5,Alex De Minaur,Clay,2
233,Alex De Minaur,Grass,0
396,Alex De Minaur,Hard,2
6,Alex Molcan,Clay,0
234,Alex Molcan,Grass,1
397,Alex Molcan,Hard,2
398,Alexandar Lazarov,Hard,0
7,Alexander Bublik,Clay,0
235,Alexander Bublik,Grass,1
399,Alexander Bublik,Hard,0
8,Alexander Ritschard,Clay,1
236,Alexander Ritschard,Grass,0
400,Alexander Ritschard,Hard,2
9,Alexander Shevchenko,Clay,1
401,Alexander Shevchenko,Hard,2
10,Alexander Zverev,Clay,0
402,Alexander Zverev,Hard,0
11,Alexei Popyrin,Clay,0
237,Alexei Popyrin,Grass,0
403,Alexei Popyrin,Hard,0
404,Alexey Vatutin,Hard,2
12,Alexis Galarneau,Clay,1
405,Alexis Galarneau,Hard,0
406,Alexis Klegou,Hard,1
13,Aljaz Bedene,Clay,1
238,Aljaz Bedene,Grass,0
407,Aljaz Bedene,Hard,0
408,Altug Celikbilek,Hard,0
14,Amr Elsayed Abdou Ahmed Mohamed,Clay,0
239,Andrea Vavassori,Grass,2
240,Andreas Seppi,Grass,0
409,Andreas Seppi,Hard,2
15,Andrej Martin,Clay,0
410,Andres Martin,Hard,0
16,Andrey Kuznetsov,Clay,2
17,Andrey Rublev,Clay,0
241,Andrey Rublev,Grass,1
411,Andrey Rublev,Hard,0
18,Andy Murray,Clay,0
242,Andy Murray,Grass,1
412,Andy Murray,Hard,2
243,Antoine Bellier,Grass,2
413,Antoine Bellier,Hard,0
244,Aqeel Khan,Grass,0
19,Aristotelis Thanos,Clay,2
414,Aristotelis Thanos,Hard,1
415,Arjun Kadhe,Hard,2
416,Arthur Fils,Hard,1
20,Arthur Rinderknech,Clay,2
245,Arthur Rinderknech,Grass,1
417,Arthur Rinderknech,Hard,0
21,Aslan Karatsev,Clay,1
246,Aslan Karatsev,Grass,2
418,Aslan Karatsev,Hard,2
22,Attila Balazs,Clay,2
247,Attila Balazs,Grass,0
419,Beibit Zhukayev,Hard,1
420,Ben Shelton,Hard,0
23,Benjamin Bonzi,Clay,1
248,Benjamin Bonzi,Grass,1
421,Benjamin Bonzi,Hard,0
24,Benoit Paire,Clay,1
249,Benoit Paire,Grass,2
422,Benoit Paire,Hard,2
25,Bernabe Zapata Miralles,Clay,2
250,Bernabe Zapata Miralles,Grass,0
423,Bernabe Zapata Miralles,Hard,2
26,Bjorn Fratangelo,Clay,2
27,Blaise Bicknell,Clay,2
28,Blaz Rola,Clay,0
29,Bor Artnak,Clay,2
30,Borna Coric,Clay,0
424,Borna Coric,Hard,0
31,Borna Gojo,Clay,0
425,Borna Gojo,Hard,0
32,Botic Van De Zandschulp,Clay,2
251,Botic Van De Zandschulp,Grass,1
426,Botic Van De Zandschulp,Hard,0
427,Bradley Klahn,Hard,2
428,Brandon Holt,Hard,2
33,Brandon Nakashima,Clay,0
252,Brandon Nakashima,Grass,1
429,Brandon Nakashima,Hard,0
430,Brayden Schnur,Hard,1
431,Caleb Chakravarthi,Hard,1
34,Cameron Norrie,Clay,0
253,Cameron Norrie,Grass,1
432,Cameron Norrie,Hard,2
35,Camilo Ugo Carabelli,Clay,2
36,Carlos Alcaraz,Clay,0
254,Carlos Alcaraz,Grass,1
433,Carlos Alcaraz,Hard,0
37,Carlos Gimeno Valero,Clay,2
38,Carlos Taberner,Clay,2
255,Carlos Taberner,Grass,2
434,Carlos Taberner,Hard,2
39,Casper Ruud,Clay,0
256,Casper Ruud,Grass,1
435,Casper Ruud,Hard,0
436,Cayetano March,Hard,1
437,Cedrik Marcel Stebe,Hard,0
438,Cem Ilkel,Hard,2
40,Christian Harrison,Clay,2
257,Christian Harrison,Grass,0
258,Christian Sigsgaard,Grass,2
259,Christopher Eubanks,Grass,1
439,Christopher Eubanks,Hard,0
41,Christopher Oconnell,Clay,0
260,Christopher Oconnell,Grass,0
440,Christopher Oconnell,Hard,0
42,Chun Hsin Tseng,Clay,2
261,Chun Hsin Tseng,Grass,0
441,Chun Hsin Tseng,Hard,2
442,Coleman Wong,Hard,2
443,Constant Lestienne,Hard,2
43,Corentin Moutet,Clay,2
444,Corentin Moutet,Hard,2
44,Cristian Garin,Clay,2
262,Cristian Garin,Grass,0
445,Cristian Garin,Hard,2
45,Damir Dzumhur,Clay,1
446,Damir Dzumhur,Hard,2
46,Daniel Altmaier,Clay,2
263,Daniel Altmaier,Grass,1
447,Daniel Altmaier,Hard,0
47,Daniel Dutra Da Silva,Clay,1
48,Daniel Elahi Galan,Clay,2
264,Daniel Elahi Galan,Grass,0
448,Daniel Elahi Galan,Hard,2
49,Daniel Evans,Clay,2
265,Daniel Evans,Grass,0
449,Daniel Evans,Hard,2
50,Daniil Medvedev,Clay,0
266,Daniil Medvedev,Grass,1
450,Daniil Medvedev,Hard,0
51,David Goffin,Clay,1
267,David Goffin,Grass,0
451,David Goffin,Hard,2
