"date","tournament","surface","five_set","player_A_name","player_B_name","player_A_elo_before","player_B_elo_before","player_A_win","elo_difference","surface_cluster_A","surface_cluster_B","predict_proba_R","predict_R"
20220725,"Kitzbuhel","Clay",FALSE,"Dusan Lajovic","Filip Misolic",1449.72092693322,1527.74123412417,0,-78.020307190952,2,2,0.502293525470227,1
20240219,"Doha","Hard",FALSE,"Andy Murray","Jakub Mensik",1502.32573509894,1580.34544698384,0,-78.0197118848985,1,1,0.398265691717771,0
20240203,"Davis Cup QLS R1: ARG vs KAZ","Clay",FALSE,"Dmitry Popko","Sebastian Baez",1487.95514966284,1565.94392854745,0,-77.9887788846106,0,1,0.0590362415400957,0
20230731,"Washington","Hard",FALSE,"Max Purcell","Zachary Svajda",1388.19481802136,1466.16404006563,0,-77.9692220442698,2,0,0.49518825869206,0
20220411,"Monte Carlo Masters","Clay",FALSE,"Dusan Lajovic","Filip Krajinovic",1431.92122432553,1509.84041072044,1,-77.9191863949175,2,1,0.455532851638561,0
20220214,"Doha","Hard",FALSE,"David Goffin","Emil Ruusuvuori",1476.86675333956,1554.7427823962,0,-77.8760290566383,1,1,0.398415244502548,0
20230828,"Us Open","Hard",TRUE,"Ugo Humbert","Matteo Berrettini",1547.16920235959,1625.03111215513,0,-77.8619097955373,1,1,0.345178601127137,0
20230417,"Barcelona","Clay",FALSE,"Grigor Dimitrov","Alex De Minaur",1596.26543607109,1674.10798360755,0,-77.8425475364625,1,1,0.41972458000982,0
20231023,"Basel","Hard",FALSE,"Thiago Seyboth Wild","Tallon Griekspoor",1504.93617080014,1582.73254750364,0,-77.7963767035071,1,1,0.398498159109635,0
20230403,"Marrakech","Clay",FALSE,"Hugo Gaston","Lorenzo Musetti",1424.78608596001,1502.45570222227,0,-77.6696162622598,2,1,0.455801688794235,0
20221024,"Basel","Hard",FALSE,"Dominic Stricker","Pablo Carreno Busta",1527.96464612356,1605.41814732193,0,-77.453501198368,3,1,0.490577064959096,0
20221017,"Antwerp","Hard",FALSE,"Jaume Munar","Tim Van Rijthoven",1473.99945589222,1551.3291186772,1,-77.3296627849741,2,1,0.315729598672992,0
20240129,"Montpellier","Hard",FALSE,"Richard Gasquet","Pablo Llamas Ruiz",1427.5060603229,1504.72736839448,0,-77.2213080715771,1,2,0.509537110919909,1
20231016,"Stockholm","Hard",FALSE,"Roman Safiullin","Adrian Mannarino",1619.82657189838,1696.87976239794,0,-77.053190499561,1,1,0.399272063398945,0
20240401,"Marrakech","Clay",FALSE,"Aleksandar Vukic","Mariano Navone",1440.02503196514,1517.06577686926,0,-77.040744904122,1,2,0.466931135010127,0
20220404,"Houston","Clay",FALSE,"Michael Mmoh","Nick Kyrgios",1500,1576.98689090941,0,-76.9868909094073,3,1,0.181387968465142,0
20240914,"Davis Cup WG1 R1: SWE vs IND","Hard",FALSE,"Elias Ymer","N Sriram Balaji",1438.62289317489,1515.59270375024,1,-76.9698105753457,3,1,0.491102049177945,0
20240318,"Miami Masters","Hard",FALSE,"Daniel Altmaier","Jan Lennard Struff",1477.65157332081,1554.44342577695,0,-76.7918524561378,1,1,0.399544323125728,0
20230731,"Los Cabos","Hard",FALSE,"Ilya Ivashka","Borna Coric",1493.83364001683,1570.47674161326,0,-76.6431015964238,1,3,0.514273668896282,1
20240304,"Indian Wells Masters","Hard",FALSE,"Jurij Rodionov","Fabian Marozsan",1482.63448177842,1559.21297676074,0,-76.5784949823203,2,1,0.316434819600715,0
20240610,"Stuttgart","Grass",FALSE,"Brandon Nakashima","Jack Draper",1565.29939604245,1641.81905579989,0,-76.5196597574429,1,1,0.476222195547081,0
20220725,"Atlanta","Hard",FALSE,"Andres Martin","Thanasi Kokkinakis",1484.37209571095,1560.86783236993,1,-76.4957366589745,0,2,0.170185292505427,0
20240401,"Estoril","Clay",FALSE,"Cristian Garin","Arthur Fils",1495.94515709781,1572.44048339315,1,-76.4953262953411,1,1,0.421150268680011,0
20240212,"Buenos Aires","Clay",FALSE,"Daniel Elahi Galan","Diego Schwartzman",1404.38417624556,1480.86103898402,1,-76.4768627384665,1,1,0.421169816820054,0
20230828,"Us Open","Hard",TRUE,"Hugo Gaston","Sho Shimabukuro",1404.51711016834,1480.95648415317,1,-76.4393739848374,2,3,0.370542396200685,0
20220620,"Eastbourne","Grass",FALSE,"Maxime Cressy","Reilly Opelka",1472.8597911777,1549.20653573726,1,-76.3467445595572,1,1,0.476409514634648,0
20230522,"Geneva","Clay",FALSE,"Marc Andrea Huesler","Yibing Wu",1463.96855174634,1540.24725224451,0,-76.2787004981712,0,3,0.0831555376335879,0
20230814,"Cincinnati Masters","Hard",FALSE,"Jiri Lehecka","Taylor Fritz",1632.02999029603,1708.27989363555,0,-76.2499033395211,1,1,0.400109118767641,0
20230508,"Rome Masters","Clay",FALSE,"Laslo Djere","Botic Van De Zandschulp",1510.44194496506,1586.66149726173,1,-76.219552296667,1,1,0.421442267843234,0
20220808,"Canada Masters","Hard",FALSE,"Daniel Evans","Tommy Paul",1525.18579671817,1601.38683608441,1,-76.2010393662349,3,1,0.491936491776448,0
20240115,"Australian Open","Hard",TRUE,"Zhizhen Zhang","Ugo Humbert",1598.71479201611,1674.83547260706,0,-76.1206805909464,1,1,0.348047384330118,0
20240617,"Queen's Club","Grass",FALSE,"Andy Murray","Jordan Thompson",1486.73076409035,1562.61876711004,0,-75.8880030196915,1,1,0.476906501507959,0
20240401,"Marrakech","Clay",FALSE,"Albert Ramos","Stan Wawrinka",1427.85568637397,1503.74164571766,0,-75.8859593436896,2,1,0.457723786215876,0
20230731,"Kitzbuhel","Clay",FALSE,"Christopher Oconnell","Laslo Djere",1516.14630776269,1592.02241433233,0,-75.8761065696388,1,1,0.42180599701166,0
20240415,"Barcelona","Clay",FALSE,"Luca Van Assche","Zhizhen Zhang",1480.56032166396,1556.38398961319,1,-75.8236679492222,1,1,0.421861540062621,0
20240318,"Miami Masters","Hard",FALSE,"Flavio Cobolli","Cameron Norrie",1511.80948963057,1587.61610346489,0,-75.8066138343181,2,1,0.317160367287922,0
20220207,"Buenos Aires","Clay",FALSE,"Thiago Monteiro","Albert Ramos",1485.28593890848,1561.09102329729,1,-75.8050843888138,2,2,0.504698551387179,1
20240219,"Doha","Hard",FALSE,"Marton Fucsovics","Alexander Bublik",1577.90035472466,1653.65678393031,0,-75.75642920565,2,1,0.317207570337968,0
20230220,"Doha","Hard",FALSE,"Tallon Griekspoor","Andrey Rublev",1598.75544943766,1674.46683811449,0,-75.7113886768307,1,1,0.400670598294243,0
20240925,"Tokyo","Hard",FALSE,"Christopher Oconnell","Tomas Martin Etcheverry",1538.48214095899,1614.18289203265,1,-75.7007510736569,1,1,0.40068169216867,0
20221024,"Vienna","Hard",FALSE,"Emil Ruusuvuori","Hubert Hurkacz",1585.98635093077,1661.60349431401,0,-75.6171433832394,1,1,0.400768889528838,0
20220304,"Davis Cup QLS R1: ARG vs CZE","Clay",FALSE,"Tomas Machac","Diego Schwartzman",1500.42322183187,1576.01564940678,0,-75.5924275749137,2,1,0.458040222958391,0
20220926,"Seoul","Hard",FALSE,"Aleksandar Kovacevic","Miomir Kecmanovic",1500,1575.58264319853,1,-75.5826431985297,1,2,0.511315493589385,1
20240925,"Tokyo","Hard",FALSE,"Jack Draper","Hubert Hurkacz",1693.44616712344,1769.02355374343,1,-75.5773866199945,1,1,0.400810355440932,0
20230403,"Estoril","Clay",FALSE,"Quentin Halys","Roberto Bautista Agut",1488.39202804949,1563.96525079117,1,-75.5732227416806,2,1,0.458060927572572,0
20220627,"Wimbledon","Grass",TRUE,"Alejandro Tabilo","Miomir Kecmanovic",1508.62756447069,1584.18864376922,0,-75.5610792985331,1,2,0.51799757238404,1
20241002,"Shanghai Masters","Hard",FALSE,"Daniel Evans","Thiago Seyboth Wild",1452.36510416691,1527.88279111589,0,-75.517686948979,3,1,0.492678256645951,0
20220523,"Roland Garros","Clay",TRUE,"Alex Molcan","Novak Djokovic",1583.4525564026,1658.96377630452,0,-75.5112199019231,1,1,0.369310396343495,0
