,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,result,player,rate_1stWon,bpSaved_rate,return_points_won,return_rate,return_pts_won_pct,serve_won_pct
11,2023-9900,United Cup,Hard,18,A,20230102,268,105777,16.0,0,Grigor Dimitrov,R,191.0,BUL,31.6,105676,12.0,0,David Goffin,R,180.0,BEL,32.0,6-4 7-5,3,RR,102.0,10.0,7.0,72.0,48.0,38.0,9.0,11.0,6.0,8.0,2.0,2.0,64.0,33.0,22.0,16.0,11.0,3.0,7.0,28.0,1460.0,53.0,870.0,1,Grigor Dimitrov,0.7916666666666666,0.75,26.0,0.40625,40.625,79.16666666666666
12,2023-9900,United Cup,Hard,18,A,20230102,252,126203,3.0,0,Taylor Fritz,R,196.0,USA,25.1,100644,10.0,0,Alexander Zverev,R,198.0,GER,25.7,6-1 6-4,3,RR,64.0,8.0,4.0,45.0,27.0,26.0,11.0,9.0,1.0,1.0,3.0,5.0,60.0,48.0,31.0,3.0,8.0,3.0,6.0,9.0,3355.0,12.0,2700.0,1,Taylor Fritz,0.9629629629629629,1.0,26.0,0.43333333333333335,43.333333333333336,96.29629629629629
13,2023-9900,United Cup,Hard,18,A,20230102,251,126207,0.0,0,Frances Tiafoe,R,188.0,USA,24.9,106214,0.0,0,Oscar Otte,R,193.0,GER,29.4,7-5 6-4,3,RR,75.0,9.0,3.0,56.0,30.0,29.0,16.0,11.0,0.0,0.0,10.0,0.0,58.0,30.0,23.0,18.0,11.0,0.0,2.0,19.0,2000.0,76.0,691.0,1,Frances Tiafoe,0.9666666666666667,0.0,17.0,0.29310344827586204,29.310344827586203,96.66666666666667
14,2023-9900,United Cup,Hard,18,A,20230102,248,126203,3.0,0,Taylor Fritz,R,196.0,USA,25.1,208103,14.0,0,Jiri Lehecka,R,185.0,CZE,21.1,6-3 6-4,3,RR,0.0,5.0,3.0,68.0,41.0,32.0,14.0,10.0,2.0,2.0,4.0,1.0,48.0,31.0,24.0,8.0,9.0,1.0,3.0,9.0,3355.0,81.0,646.0,1,Taylor Fritz,0.7804878048780488,1.0,16.0,0.3333333333333333,33.33333333333333,78.04878048780488
15,2023-9900,United Cup,Hard,18,A,20230102,247,126207,0.0,0,Frances Tiafoe,R,188.0,USA,24.9,207830,0.0,0,Tomas Machac,R,183.0,CZE,22.2,6-3 2-4 RET,3,RR,80.0,4.0,1.0,55.0,36.0,24.0,10.0,8.0,2.0,4.0,6.0,5.0,59.0,37.0,27.0,6.0,7.0,3.0,5.0,19.0,2000.0,97.0,580.0,1,Frances Tiafoe,0.6666666666666666,0.5,26.0,0.4406779661016949,44.06779661016949,66.66666666666666
16,2023-9900,United Cup,Hard,18,A,20230102,240,200282,7.0,0,Alex De Minaur,R,183.0,AUS,23.8,104745,4.0,0,Rafael Nadal,L,185.0,ESP,36.5,3-6 6-1 7-5,3,RR,162.0,3.0,6.0,100.0,62.0,39.0,19.0,14.0,8.0,12.0,2.0,4.0,92.0,56.0,34.0,16.0,14.0,7.0,13.0,24.0,1790.0,2.0,6020.0,1,Alex De Minaur,0.6290322580645161,0.6666666666666666,42.0,0.45652173913043476,45.65217391304348,62.903225806451616
17,2023-9900,United Cup,Hard,18,A,20230102,227,207518,0.0,0,Lorenzo Musetti,R,185.0,ITA,20.8,200335,0.0,0,Felipe Meligeni Alves,R,185.0,BRA,24.8,6-3 6-4,3,RR,0.0,9.0,1.0,55.0,31.0,22.0,15.0,10.0,1.0,3.0,1.0,2.0,50.0,33.0,19.0,8.0,9.0,0.0,4.0,23.0,1865.0,166.0,343.0,1,Lorenzo Musetti,0.7096774193548387,0.3333333333333333,23.0,0.46,46.0,70.96774193548387
18,2023-9900,United Cup,Hard,18,A,20230102,223,207518,0.0,0,Lorenzo Musetti,R,185.0,ITA,20.8,126340,0.0,0,Viktor Durasovic,R,185.0,NOR,25.7,7-6(7) 6-3,3,RR,108.0,7.0,1.0,69.0,42.0,35.0,16.0,11.0,1.0,2.0,6.0,3.0,81.0,45.0,28.0,19.0,10.0,8.0,10.0,23.0,1865.0,343.0,143.0,1,Lorenzo Musetti,0.8333333333333334,0.5,34.0,0.41975308641975306,41.9753086419753,83.33333333333334
19,2023-9900,United Cup,Hard,18,A,20230102,220,134770,18.0,0,Casper Ruud,R,183.0,NOR,24.0,106329,11.0,0,Thiago Monteiro,L,183.0,BRA,28.5,6-3 6-2,3,RR,71.0,8.0,1.0,49.0,36.0,24.0,8.0,9.0,2.0,4.0,2.0,5.0,41.0,27.0,16.0,3.0,8.0,1.0,6.0,3.0,5820.0,71.0,738.0,1,Casper Ruud,0.6666666666666666,0.5,22.0,0.5365853658536586,53.65853658536586,66.66666666666666
20,2023-2843,Adelaide 1,Hard,32,A,20230102,300,104925,1.0,0,Novak Djokovic,R,188.0,SRB,35.6,200624,0.0,0,Sebastian Korda,R,196.0,USA,22.4,6-7(8) 7-6(3) 6-4,3,F,189.0,7.0,4.0,99.0,62.0,53.0,25.0,17.0,1.0,2.0,15.0,4.0,129.0,76.0,59.0,27.0,17.0,5.0,7.0,5.0,4820.0,33.0,1175.0,1,Novak Djokovic,0.8548387096774194,0.5,43.0,0.3333333333333333,33.33333333333333,85.48387096774194
21,2023-2843,Adelaide 1,Hard,32,A,20230102,299,104925,1.0,0,Novak Djokovic,R,188.0,SRB,35.6,106421,3.0,0,Daniil Medvedev,R,198.0,RUS,26.8,6-3 6-4,3,SF,90.0,5.0,3.0,61.0,35.0,31.0,14.0,10.0,3.0,3.0,5.0,2.0,48.0,31.0,23.0,9.0,9.0,1.0,3.0,5.0,4820.0,7.0,4065.0,1,Novak Djokovic,0.8857142857142857,1.0,16.0,0.3333333333333333,33.33333333333333,88.57142857142857
22,2023-2843,Adelaide 1,Hard,32,A,20230102,297,104925,1.0,0,Novak Djokovic,R,188.0,SRB,35.6,133430,7.0,0,Denis Shapovalov,L,185.0,CAN,23.7,6-3 6-4,3,QF,115.0,4.0,3.0,70.0,40.0,31.0,16.0,10.0,3.0,4.0,6.0,7.0,72.0,38.0,25.0,14.0,9.0,5.0,8.0,5.0,4820.0,18.0,2075.0,1,Novak Djokovic,0.775,0.75,33.0,0.4583333333333333,45.83333333333333,77.5
23,2023-2843,Adelaide 1,Hard,32,A,20230102,296,106421,3.0,0,Daniil Medvedev,R,198.0,RUS,26.8,111575,8.0,0,Karen Khachanov,R,198.0,RUS,26.6,6-3 6-3,3,QF,77.0,6.0,5.0,51.0,33.0,29.0,7.0,9.0,2.0,3.0,1.0,2.0,60.0,42.0,25.0,6.0,9.0,3.0,7.0,7.0,4065.0,20.0,1990.0,1,Daniil Medvedev,0.8787878787878788,0.6666666666666666,29.0,0.48333333333333334,48.333333333333336,87.87878787878788
24,2023-2843,Adelaide 1,Hard,32,A,20230102,293,104925,1.0,0,Novak Djokovic,R,188.0,SRB,35.6,111460,0.0,0,Quentin Halys,R,191.0,FRA,26.1,7-6(3) 7-6(5),3,R16,115.0,10.0,4.0,76.0,50.0,44.0,14.0,12.0,0.0,1.0,11.0,2.0,82.0,48.0,39.0,16.0,12.0,4.0,5.0,5.0,4820.0,64.0,767.0,1,Novak Djokovic,0.88,0.0,27.0,0.32926829268292684,32.926829268292686,88.0
25,2023-2843,Adelaide 1,Hard,32,A,20230102,291,106421,3.0,0,Daniil Medvedev,R,198.0,RUS,26.8,200175,0.0,0,Miomir Kecmanovic,R,183.0,SRB,23.3,6-0 6-3,3,R16,67.0,7.0,3.0,51.0,38.0,29.0,7.0,8.0,1.0,1.0,0.0,0.0,42.0,31.0,13.0,6.0,7.0,3.0,7.0,7.0,4065.0,29.0,1420.0,1,Daniil Medvedev,0.7631578947368421,1.0,23.0,0.5476190476190477,54.761904761904766,76.31578947368422
26,2023-2843,Adelaide 1,Hard,32,A,20230102,289,206173,6.0,0,Jannik Sinner,R,191.0,ITA,21.3,106423,0.0,WC,Thanasi Kokkinakis,R,193.0,AUS,26.7,7-6(2) 6-4,3,R16,122.0,5.0,2.0,78.0,58.0,40.0,12.0,11.0,6.0,7.0,9.0,3.0,72.0,45.0,33.0,13.0,11.0,1.0,3.0,15.0,2410.0,93.0,592.0,1,Jannik Sinner,0.6896551724137931,0.8571428571428571,26.0,0.3611111111111111,36.11111111111111,68.96551724137932
27,2023-2843,Adelaide 1,Hard,32,A,20230102,285,104925,1.0,0,Novak Djokovic,R,188.0,SRB,35.6,106005,0.0,0,Constant Lestienne,R,180.0,FRA,30.6,6-3 6-2,3,R32,74.0,4.0,2.0,47.0,29.0,25.0,13.0,9.0,1.0,1.0,3.0,1.0,56.0,39.0,22.0,10.0,8.0,5.0,8.0,5.0,4820.0,65.0,760.0,1,Novak Djokovic,0.8620689655172413,1.0,24.0,0.42857142857142855,42.857142857142854,86.20689655172413
28,2023-2843,Adelaide 1,Hard,32,A,20230102,281,106421,3.0,0,Daniil Medvedev,R,198.0,RUS,26.8,132283,0.0,0,Lorenzo Sonego,R,191.0,ITA,27.6,7-6(6) 2-1 RET,3,R32,102.0,5.0,2.0,70.0,45.0,30.0,15.0,8.0,9.0,10.0,1.0,1.0,57.0,32.0,25.0,11.0,7.0,3.0,4.0,7.0,4065.0,45.0,950.0,1,Daniil Medvedev,0.6666666666666666,0.9,21.0,0.3684210526315789,36.84210526315789,66.66666666666666
29,2023-2843,Adelaide 1,Hard,32,A,20230102,279,207733,0.0,0,Jack Draper,L,193.0,GBR,21.0,126952,0.0,Q,Soon Woo Kwon,R,180.0,KOR,25.0,6-2 6-1,3,R32,68.0,8.0,2.0,35.0,18.0,16.0,13.0,7.0,3.0,3.0,2.0,3.0,52.0,24.0,12.0,10.0,8.0,7.0,12.0,42.0,990.0,83.0,630.0,1,Jack Draper,0.8888888888888888,1.0,30.0,0.5769230769230769,57.692307692307686,88.88888888888889
30,2023-2843,Adelaide 1,Hard,32,A,20230102,277,206173,6.0,0,Jannik Sinner,R,191.0,ITA,21.3,106378,0.0,PR,Kyle Edmund,R,188.0,GBR,27.9,6-3 6-2,3,R32,65.0,5.0,1.0,41.0,25.0,23.0,13.0,9.0,0.0,0.0,1.0,2.0,48.0,21.0,15.0,11.0,8.0,1.0,4.0,15.0,2410.0,582.0,52.0,1,Jannik Sinner,0.92,0.0,22.0,0.4583333333333333,45.83333333333333,92.0
31,2023-0301,Auckland,Hard,32,A,20230109,277,210097,0.0,WC,Ben Shelton,L,193.0,USA,20.2,202104,7.0,0,Sebastian Baez,R,170.0,ARG,22.0,7-6(1) 6-1,3,R32,82.0,9.0,1.0,51.0,34.0,28.0,12.0,9.0,2.0,2.0,2.0,3.0,67.0,49.0,26.0,11.0,10.0,7.0,10.0,92.0,584.0,41.0,987.0,1,Ben Shelton,0.8235294117647058,1.0,30.0,0.44776119402985076,44.776119402985074,82.35294117647058
32,2023-8998,Adelaide 2,Hard,32,A,20230109,295,207733,0.0,0,Jack Draper,L,193.0,GBR,21.0,111575,3.0,0,Karen Khachanov,R,198.0,RUS,26.6,6-4 7-6(3),3,QF,105.0,10.0,3.0,68.0,44.0,35.0,13.0,11.0,1.0,2.0,8.0,3.0,75.0,48.0,36.0,11.0,11.0,4.0,6.0,40.0,1010.0,20.0,1885.0,1,Jack Draper,0.7954545454545454,0.5,28.0,0.37333333333333335,37.333333333333336,79.54545454545455
33,2023-8998,Adelaide 2,Hard,32,A,20230109,289,207733,0.0,0,Jack Draper,L,193.0,GBR,21.0,126205,8.0,0,Tommy Paul,R,185.0,USA,25.6,6-4 6-4,3,R16,91.0,10.0,1.0,57.0,33.0,29.0,13.0,10.0,3.0,4.0,5.0,1.0,58.0,34.0,23.0,12.0,10.0,2.0,5.0,40.0,1010.0,35.0,1185.0,1,Jack Draper,0.8787878787878788,0.75,23.0,0.39655172413793105,39.6551724137931,87.87878787878788
34,2023-8998,Adelaide 2,Hard,32,A,20230109,277,126205,8.0,0,Tommy Paul,R,185.0,USA,25.6,106331,0.0,LL,Christopher Oconnell,R,183.0,AUS,28.6,6-4 7-5,3,R32,88.0,6.0,0.0,57.0,39.0,32.0,14.0,11.0,1.0,1.0,7.0,1.0,66.0,41.0,32.0,10.0,11.0,3.0,5.0,35.0,1185.0,79.0,652.0,1,Tommy Paul,0.8205128205128205,1.0,24.0,0.36363636363636365,36.36363636363637,82.05128205128204
