,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,result,player,rate_1stWon,bpSaved_rate,return_points_won,return_rate,return_pts_won_pct,serve_won_pct
196,2023-0404,Indian Wells Masters,Hard,128,M,20230306,276,100644,12.0,0,Alexander Zverev,R,198.0,GER,25.8,200325,0.0,0,Emil Ruusuvuori,R,188.0,FIN,23.9,7-5 1-6 7-5,3,R32,160.0,8.0,1.0,101.0,62.0,41.0,21.0,15.0,9.0,13.0,4.0,1.0,94.0,65.0,49.0,13.0,16.0,9.0,13.0,14.0,2500.0,59.0,846.0,1,Alexander Zverev,0.6612903225806451,0.6923076923076923,32.0,0.3404255319148936,34.04255319148936,66.12903225806451
197,2023-0404,Indian Wells Masters,Hard,128,M,20230306,273,126094,6.0,0,Andrey Rublev,R,188.0,RUS,25.3,200005,0.0,0,Ugo Humbert,L,188.0,FRA,24.6,7-5 6-3,3,R32,82.0,4.0,0.0,52.0,40.0,31.0,7.0,10.0,0.0,1.0,4.0,4.0,68.0,30.0,23.0,17.0,11.0,2.0,6.0,7.0,3660.0,77.0,678.0,1,Andrey Rublev,0.775,0.0,28.0,0.4117647058823529,41.17647058823529,77.5
198,2023-0404,Indian Wells Masters,Hard,128,M,20230306,271,126207,14.0,0,Frances Tiafoe,R,188.0,USA,25.1,106186,0.0,0,Jason Kubler,R,178.0,AUS,29.7,6-3 6-2,3,R32,71.0,9.0,1.0,59.0,43.0,33.0,8.0,9.0,1.0,1.0,1.0,1.0,42.0,22.0,19.0,5.0,8.0,1.0,4.0,16.0,2395.0,75.0,710.0,1,Frances Tiafoe,0.7674418604651163,1.0,18.0,0.42857142857142855,42.857142857142854,76.74418604651163
199,2023-0404,Indian Wells Masters,Hard,128,M,20230306,269,207989,1.0,0,Carlos Alcaraz,R,183.0,ESP,19.8,106423,0.0,Q,Thanasi Kokkinakis,R,193.0,AUS,26.9,6-3 6-3,3,R64,76.0,1.0,1.0,44.0,28.0,23.0,14.0,9.0,0.0,0.0,6.0,2.0,59.0,34.0,23.0,12.0,9.0,6.0,9.0,2.0,6780.0,94.0,577.0,1,Carlos Alcaraz,0.8214285714285714,0.0,24.0,0.4067796610169492,40.67796610169492,82.14285714285714
200,2023-0404,Indian Wells Masters,Hard,128,M,20230306,267,207733,0.0,0,Jack Draper,L,193.0,GBR,21.2,105554,24.0,0,Daniel Evans,R,175.0,GBR,32.7,6-4 6-2,3,R64,120.0,8.0,6.0,79.0,45.0,31.0,16.0,9.0,10.0,11.0,2.0,5.0,60.0,28.0,17.0,15.0,9.0,6.0,10.0,56.0,854.0,29.0,1380.0,1,Jack Draper,0.6888888888888889,0.9090909090909091,28.0,0.4666666666666667,46.666666666666664,68.88888888888889
201,2023-0404,Indian Wells Masters,Hard,128,M,20230306,264,126205,17.0,0,Tommy Paul,R,185.0,USA,25.8,105526,0.0,Q,Jan Lennard Struff,R,193.0,GER,32.8,6-3 6-3,3,R64,79.0,6.0,0.0,52.0,37.0,24.0,13.0,9.0,3.0,4.0,3.0,4.0,64.0,36.0,25.0,9.0,9.0,8.0,12.0,19.0,2000.0,134.0,446.0,1,Tommy Paul,0.6486486486486487,0.75,30.0,0.46875,46.875,64.86486486486487
202,2023-0404,Indian Wells Masters,Hard,128,M,20230306,262,200000,8.0,0,Felix Auger Aliassime,R,193.0,CAN,22.5,124079,0.0,0,Pedro Martinez,R,185.0,ESP,25.8,7-6(5) 6-4,3,R64,145.0,10.0,4.0,68.0,33.0,27.0,20.0,11.0,0.0,1.0,0.0,4.0,106.0,72.0,42.0,19.0,11.0,15.0,17.0,10.0,3245.0,120.0,476.0,1,Felix Auger Aliassime,0.8181818181818182,0.0,45.0,0.42452830188679247,42.45283018867924,81.81818181818183
203,2023-0404,Indian Wells Masters,Hard,128,M,20230306,261,126203,4.0,0,Taylor Fritz,R,196.0,USA,25.3,210097,0.0,0,Ben Shelton,L,193.0,USA,20.4,4-6 6-4 6-3,3,R64,112.0,4.0,0.0,74.0,43.0,34.0,26.0,15.0,0.0,1.0,4.0,2.0,82.0,48.0,41.0,16.0,14.0,2.0,4.0,5.0,3795.0,41.0,964.0,1,Taylor Fritz,0.7906976744186046,0.0,25.0,0.3048780487804878,30.48780487804878,79.06976744186046
204,2023-0404,Indian Wells Masters,Hard,128,M,20230306,257,206173,11.0,0,Jannik Sinner,R,191.0,ITA,21.5,104755,0.0,0,Richard Gasquet,R,183.0,FRA,36.7,6-3 7-6(2),3,R64,94.0,9.0,1.0,66.0,35.0,31.0,17.0,11.0,1.0,2.0,5.0,4.0,66.0,38.0,29.0,11.0,10.0,2.0,4.0,13.0,2655.0,43.0,955.0,1,Jannik Sinner,0.8857142857142857,0.5,26.0,0.3939393939393939,39.39393939393939,88.57142857142857
205,2023-0404,Indian Wells Masters,Hard,128,M,20230306,254,208029,7.0,0,Holger Rune,R,188.0,DEN,19.8,111456,0.0,0,Mackenzie Mcdonald,R,178.0,USA,27.8,7-5 6-3,3,R64,80.0,3.0,3.0,64.0,42.0,33.0,14.0,11.0,0.0,0.0,2.0,1.0,51.0,31.0,22.0,13.0,10.0,3.0,5.0,8.0,3321.0,53.0,865.0,1,Holger Rune,0.7857142857142857,0.0,16.0,0.3137254901960784,31.372549019607842,78.57142857142857
206,2023-0404,Indian Wells Masters,Hard,128,M,20230306,253,106421,5.0,0,Daniil Medvedev,R,198.0,RUS,27.0,206909,0.0,0,Brandon Nakashima,R,188.0,USA,21.5,6-4 6-3,3,R64,86.0,6.0,2.0,56.0,33.0,24.0,16.0,9.0,6.0,6.0,7.0,1.0,61.0,44.0,29.0,5.0,10.0,4.0,7.0,6.0,3775.0,48.0,927.0,1,Daniil Medvedev,0.7272727272727273,1.0,27.0,0.4426229508196721,44.26229508196721,72.72727272727273
207,2023-0404,Indian Wells Masters,Hard,128,M,20230306,250,100644,12.0,0,Alexander Zverev,R,198.0,GER,25.8,106398,0.0,0,Pedro Cachin,R,185.0,ARG,27.8,6-3 6-1,3,R64,78.0,7.0,1.0,48.0,28.0,23.0,12.0,8.0,2.0,2.0,3.0,1.0,58.0,36.0,21.0,7.0,8.0,2.0,6.0,14.0,2500.0,66.0,797.0,1,Alexander Zverev,0.8214285714285714,1.0,30.0,0.5172413793103449,51.724137931034484,82.14285714285714
208,2023-0404,Indian Wells Masters,Hard,128,M,20230306,246,134770,3.0,0,Casper Ruud,R,183.0,NOR,24.2,106043,0.0,0,Diego Schwartzman,R,170.0,ARG,30.5,6-2 6-3,3,R64,88.0,1.0,1.0,50.0,33.0,27.0,11.0,9.0,1.0,1.0,2.0,1.0,57.0,31.0,21.0,11.0,8.0,2.0,5.0,4.0,5560.0,38.0,1010.0,1,Casper Ruud,0.8181818181818182,1.0,25.0,0.43859649122807015,43.859649122807014,81.81818181818183
209,2023-0404,Indian Wells Masters,Hard,128,M,20230306,245,126094,6.0,0,Andrey Rublev,R,188.0,RUS,25.3,208103,0.0,0,Jiri Lehecka,R,185.0,CZE,21.3,6-4 6-2,3,R64,76.0,5.0,0.0,50.0,29.0,22.0,13.0,9.0,4.0,5.0,1.0,4.0,67.0,39.0,26.0,10.0,9.0,5.0,9.0,7.0,3660.0,47.0,932.0,1,Andrey Rublev,0.7586206896551724,0.8,31.0,0.4626865671641791,46.26865671641791,75.86206896551724
210,2023-0404,Indian Wells Masters,Hard,128,M,20230306,244,200005,0.0,0,Ugo Humbert,L,188.0,FRA,24.6,133430,25.0,0,Denis Shapovalov,L,185.0,CAN,23.8,7-5 6-4,3,R64,114.0,5.0,3.0,73.0,44.0,29.0,16.0,11.0,4.0,6.0,6.0,14.0,78.0,42.0,23.0,20.0,11.0,7.0,11.0,77.0,678.0,30.0,1380.0,1,Ugo Humbert,0.6590909090909091,0.6666666666666666,35.0,0.44871794871794873,44.871794871794876,65.9090909090909
211,2023-0404,Indian Wells Masters,Hard,128,M,20230306,241,126207,14.0,0,Frances Tiafoe,R,188.0,USA,25.1,106218,0.0,0,Marcos Giron,R,180.0,USA,29.6,6-2 6-2,3,R64,65.0,4.0,0.0,42.0,25.0,22.0,11.0,8.0,0.0,0.0,2.0,0.0,52.0,33.0,17.0,11.0,8.0,7.0,11.0,16.0,2395.0,73.0,731.0,1,Frances Tiafoe,0.88,0.0,24.0,0.46153846153846156,46.15384615384615,88.0
212,2023-0404,Indian Wells Masters,Hard,128,M,20230306,232,207733,0.0,0,Jack Draper,L,193.0,GBR,21.2,209857,0.0,Q,Leandro Riedi,R,191.0,SUI,21.1,6-1 6-1,3,R128,56.0,8.0,1.0,36.0,23.0,20.0,6.0,7.0,1.0,2.0,2.0,5.0,46.0,23.0,9.0,8.0,7.0,1.0,7.0,56.0,854.0,135.0,445.0,1,Jack Draper,0.8695652173913043,0.5,29.0,0.6304347826086957,63.04347826086957,86.95652173913044
213,2023-0404,Indian Wells Masters,Hard,128,M,20230306,220,210097,0.0,0,Ben Shelton,L,193.0,USA,20.4,104926,0.0,0,Fabio Fognini,R,178.0,ITA,35.7,6-4 6-1,3,R128,70.0,5.0,5.0,63.0,43.0,28.0,11.0,9.0,4.0,5.0,1.0,4.0,38.0,21.0,13.0,6.0,8.0,3.0,7.0,41.0,964.0,88.0,643.0,1,Ben Shelton,0.6511627906976745,0.8,19.0,0.5,50.0,65.11627906976744
214,2023-0404,Indian Wells Masters,Hard,128,M,20230306,187,200005,0.0,0,Ugo Humbert,L,188.0,FRA,24.6,126523,0.0,0,Bernabe Zapata Miralles,R,183.0,ESP,26.1,6-2 7-6(6),3,R128,97.0,2.0,4.0,66.0,45.0,30.0,10.0,10.0,2.0,4.0,3.0,5.0,67.0,42.0,23.0,11.0,10.0,1.0,5.0,77.0,678.0,42.0,959.0,1,Ugo Humbert,0.6666666666666666,0.5,33.0,0.4925373134328358,49.25373134328358,66.66666666666666
215,2023-0403,Miami Masters,Hard,128,M,20230320,300,106421,4.0,0,Daniil Medvedev,R,198.0,RUS,27.1,206173,10.0,0,Jannik Sinner,R,191.0,ITA,21.5,7-5 6-3,3,F,94.0,9.0,6.0,63.0,37.0,32.0,12.0,11.0,4.0,6.0,6.0,0.0,63.0,35.0,24.0,9.0,10.0,2.0,6.0,5.0,4330.0,11.0,2925.0,1,Daniil Medvedev,0.8648648648648649,0.6666666666666666,30.0,0.47619047619047616,47.61904761904761,86.48648648648648
216,2023-0403,Miami Masters,Hard,128,M,20230320,299,206173,10.0,0,Jannik Sinner,R,191.0,ITA,21.5,207989,1.0,0,Carlos Alcaraz,R,183.0,ESP,19.8,6-7(4) 6-4 6-2,3,SF,181.0,8.0,4.0,104.0,66.0,45.0,21.0,15.0,9.0,12.0,5.0,9.0,113.0,62.0,41.0,21.0,15.0,6.0,12.0,11.0,2925.0,1.0,7420.0,1,Jannik Sinner,0.6818181818181818,0.75,51.0,0.45132743362831856,45.13274336283185,68.18181818181817
217,2023-0403,Miami Masters,Hard,128,M,20230320,298,106421,4.0,0,Daniil Medvedev,R,198.0,RUS,27.1,111575,14.0,0,Karen Khachanov,R,198.0,RUS,26.8,7-6(5) 3-6 6-3,3,SF,137.0,13.0,6.0,93.0,64.0,48.0,16.0,15.0,4.0,6.0,7.0,1.0,88.0,58.0,44.0,20.0,15.0,2.0,4.0,5.0,4330.0,16.0,2505.0,1,Daniil Medvedev,0.75,0.6666666666666666,24.0,0.2727272727272727,27.27272727272727,75.0
218,2023-0403,Miami Masters,Hard,128,M,20230320,297,207989,1.0,0,Carlos Alcaraz,R,183.0,ESP,19.8,126203,9.0,0,Taylor Fritz,R,196.0,USA,25.3,6-4 6-2,3,QF,78.0,6.0,0.0,54.0,37.0,28.0,11.0,9.0,2.0,2.0,4.0,5.0,57.0,33.0,24.0,9.0,9.0,2.0,5.0,1.0,7420.0,10.0,2975.0,1,Carlos Alcaraz,0.7567567567567568,1.0,24.0,0.42105263157894735,42.10526315789473,75.67567567567568
219,2023-0403,Miami Masters,Hard,128,M,20230320,296,206173,10.0,0,Jannik Sinner,R,191.0,ITA,21.5,200325,0.0,0,Emil Ruusuvuori,R,188.0,FIN,23.9,6-3 6-1,3,QF,74.0,4.0,2.0,42.0,22.0,21.0,12.0,8.0,1.0,1.0,2.0,0.0,55.0,35.0,23.0,6.0,8.0,2.0,6.0,11.0,2925.0,54.0,866.0,1,Jannik Sinner,0.9545454545454546,1.0,26.0,0.4727272727272727,47.27272727272727,95.45454545454545
220,2023-0403,Miami Masters,Hard,128,M,20230320,295,106421,4.0,0,Daniil Medvedev,R,198.0,RUS,27.1,111153,0.0,Q,Christopher Eubanks,R,201.0,USA,26.8,6-3 7-5,3,QF,89.0,9.0,5.0,71.0,44.0,36.0,12.0,10.0,5.0,6.0,4.0,5.0,66.0,38.0,27.0,11.0,11.0,2.0,6.0,5.0,4330.0,119.0,479.0,1,Daniil Medvedev,0.8181818181818182,0.8333333333333334,28.0,0.42424242424242425,42.42424242424242,81.81818181818183
221,2023-0403,Miami Masters,Hard,128,M,20230320,293,207989,1.0,0,Carlos Alcaraz,R,183.0,ESP,19.8,126205,16.0,0,Tommy Paul,R,185.0,USA,25.8,6-4 6-4,3,R16,96.0,3.0,3.0,56.0,34.0,27.0,15.0,10.0,1.0,1.0,5.0,2.0,68.0,42.0,29.0,12.0,10.0,4.0,6.0,1.0,7420.0,19.0,2045.0,1,Carlos Alcaraz,0.7941176470588235,1.0,27.0,0.39705882352941174,39.705882352941174,79.41176470588235
222,2023-0403,Miami Masters,Hard,128,M,20230320,292,126203,9.0,0,Taylor Fritz,R,196.0,USA,25.3,208029,7.0,0,Holger Rune,R,188.0,DEN,19.8,6-3 6-4,3,R16,85.0,8.0,4.0,67.0,37.0,29.0,16.0,10.0,5.0,6.0,4.0,5.0,58.0,40.0,24.0,9.0,9.0,1.0,4.0,10.0,2975.0,8.0,3325.0,1,Taylor Fritz,0.7837837837837838,0.8333333333333334,25.0,0.43103448275862066,43.103448275862064,78.37837837837837
223,2023-0403,Miami Masters,Hard,128,M,20230320,290,206173,10.0,0,Jannik Sinner,R,191.0,ITA,21.5,126094,6.0,0,Andrey Rublev,R,188.0,RUS,25.4,6-2 6-4,3,R16,72.0,8.0,0.0,46.0,28.0,24.0,12.0,9.0,0.0,0.0,6.0,2.0,56.0,41.0,30.0,4.0,9.0,2.0,5.0,11.0,2925.0,7.0,3390.0,1,Jannik Sinner,0.8571428571428571,0.0,22.0,0.39285714285714285,39.285714285714285,85.71428571428571
224,2023-0403,Miami Masters,Hard,128,M,20230320,288,106421,4.0,0,Daniil Medvedev,R,198.0,RUS,27.1,111460,0.0,0,Quentin Halys,R,191.0,FRA,26.3,6-4 6-2,3,R16,70.0,7.0,3.0,53.0,39.0,32.0,7.0,9.0,0.0,0.0,5.0,1.0,61.0,43.0,28.0,6.0,9.0,1.0,4.0,5.0,4330.0,79.0,705.0,1,Daniil Medvedev,0.8205128205128205,0.0,27.0,0.4426229508196721,44.26229508196721,82.05128205128204
225,2023-0403,Miami Masters,Hard,128,M,20230320,285,207989,1.0,0,Carlos Alcaraz,R,183.0,ESP,19.8,105583,0.0,0,Dusan Lajovic,R,183.0,SRB,32.7,6-0 7-6(5),3,R32,91.0,3.0,0.0,65.0,49.0,35.0,7.0,9.0,2.0,3.0,0.0,0.0,61.0,39.0,22.0,9.0,9.0,1.0,5.0,1.0,7420.0,76.0,728.0,1,Carlos Alcaraz,0.7142857142857143,0.6666666666666666,30.0,0.4918032786885246,49.18032786885246,71.42857142857143
226,2023-0403,Miami Masters,Hard,128,M,20230320,284,126205,16.0,0,Tommy Paul,R,185.0,USA,25.8,200221,20.0,0,Alejandro Davidovich Fokina,R,183.0,ESP,23.7,6-3 7-5,3,R32,93.0,8.0,1.0,58.0,40.0,27.0,13.0,11.0,4.0,6.0,3.0,6.0,71.0,43.0,27.0,11.0,10.0,3.0,7.0,19.0,2045.0,25.0,1545.0,1,Tommy Paul,0.675,0.6666666666666666,33.0,0.4647887323943662,46.478873239436616,67.5
227,2023-0403,Miami Masters,Hard,128,M,20230320,283,126203,9.0,0,Taylor Fritz,R,196.0,USA,25.3,133430,24.0,0,Denis Shapovalov,L,185.0,CAN,23.9,6-4 6-4,3,R32,80.0,5.0,2.0,60.0,34.0,28.0,15.0,10.0,0.0,0.0,12.0,7.0,62.0,29.0,23.0,16.0,10.0,1.0,3.0,10.0,2975.0,30.0,1345.0,1,Taylor Fritz,0.8235294117647058,0.0,23.0,0.3709677419354839,37.096774193548384,82.35294117647058
228,2023-0403,Miami Masters,Hard,128,M,20230320,282,208029,7.0,0,Holger Rune,R,188.0,DEN,19.8,106043,31.0,0,Diego Schwartzman,R,170.0,ARG,30.5,6-4 6-2,3,R32,91.0,7.0,4.0,60.0,36.0,29.0,11.0,9.0,1.0,2.0,1.0,4.0,57.0,40.0,25.0,7.0,9.0,0.0,4.0,8.0,3325.0,38.0,990.0,1,Holger Rune,0.8055555555555556,0.5,25.0,0.43859649122807015,43.859649122807014,80.55555555555556
229,2023-0403,Miami Masters,Hard,128,M,20230320,279,206173,10.0,0,Jannik Sinner,R,191.0,ITA,21.5,105777,21.0,0,Grigor Dimitrov,R,191.0,BUL,31.8,6-3 6-4,3,R32,87.0,2.0,1.0,53.0,32.0,22.0,10.0,9.0,1.0,3.0,1.0,6.0,58.0,32.0,23.0,7.0,10.0,6.0,11.0,11.0,2925.0,27.0,1450.0,1,Jannik Sinner,0.6875,0.3333333333333333,28.0,0.4827586206896552,48.275862068965516,68.75
230,2023-0403,Miami Masters,Hard,128,M,20230320,278,126094,6.0,0,Andrey Rublev,R,188.0,RUS,25.4,200175,29.0,0,Miomir Kecmanovic,R,183.0,SRB,23.5,6-1 6-2,3,R32,58.0,12.0,0.0,46.0,25.0,21.0,12.0,8.0,0.0,0.0,4.0,0.0,52.0,30.0,19.0,7.0,7.0,4.0,8.0,7.0,3390.0,35.0,1120.0,1,Andrey Rublev,0.84,0.0,26.0,0.5,50.0,84.0
231,2023-0403,Miami Masters,Hard,128,M,20230320,274,106421,4.0,0,Daniil Medvedev,R,198.0,RUS,27.1,144684,0.0,0,Alex Molcan,L,178.0,SVK,25.2,W/O,3,R32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4330.0,56.0,865.0,1,Daniil Medvedev,0.0,0.0,0.0,,,0.0
232,2023-0403,Miami Masters,Hard,128,M,20230320,270,126774,2.0,0,Stefanos Tsitsipas,R,193.0,GRE,24.6,106426,0.0,Q,Cristian Garin,R,185.0,CHI,26.8,6-3 4-6 6-4,3,R32,124.0,12.0,2.0,91.0,57.0,44.0,18.0,15.0,3.0,4.0,7.0,1.0,87.0,57.0,44.0,14.0,14.0,3.0,5.0,3.0,5770.0,82.0,672.0,1,Stefanos Tsitsipas,0.7719298245614035,0.75,29.0,0.3333333333333333,33.33333333333333,77.19298245614034
233,2023-0403,Miami Masters,Hard,128,M,20230320,269,207989,1.0,0,Carlos Alcaraz,R,183.0,ESP,19.8,105487,0.0,0,Facundo Bagnis,L,183.0,ARG,33.0,6-0 6-2,3,R64,64.0,3.0,2.0,40.0,21.0,17.0,10.0,7.0,1.0,2.0,1.0,1.0,48.0,28.0,9.0,8.0,7.0,5.0,11.0,1.0,7420.0,100.0,561.0,1,Carlos Alcaraz,0.8095238095238095,0.5,31.0,0.6458333333333334,64.58333333333334,80.95238095238095
234,2023-0403,Miami Masters,Hard,128,M,20230320,266,126205,16.0,0,Tommy Paul,R,185.0,USA,25.8,144817,0.0,0,Marc Andrea Huesler,L,196.0,SUI,26.7,5-7 6-3 6-4,3,R64,123.0,12.0,1.0,79.0,51.0,41.0,17.0,16.0,1.0,3.0,7.0,2.0,84.0,52.0,39.0,14.0,15.0,6.0,9.0,19.0,2045.0,47.0,904.0,1,Tommy Paul,0.803921568627451,0.3333333333333333,31.0,0.36904761904761907,36.904761904761905,80.3921568627451
235,2023-0403,Miami Masters,Hard,128,M,20230320,265,126203,9.0,0,Taylor Fritz,R,196.0,USA,25.3,207182,0.0,WC,Emilio Nava,R,185.0,USA,21.2,6-4 6-1,3,R64,59.0,8.0,2.0,48.0,26.0,22.0,14.0,9.0,1.0,2.0,3.0,3.0,44.0,23.0,16.0,6.0,8.0,1.0,5.0,10.0,2975.0,182.0,323.0,1,Taylor Fritz,0.8461538461538461,0.5,22.0,0.5,50.0,84.61538461538461
236,2023-0403,Miami Masters,Hard,128,M,20230320,262,208029,7.0,0,Holger Rune,R,188.0,DEN,19.8,105916,0.0,0,Marton Fucsovics,R,188.0,HUN,31.1,6-3 7-5,3,R64,81.0,6.0,0.0,54.0,31.0,25.0,17.0,10.0,1.0,1.0,3.0,5.0,63.0,38.0,28.0,12.0,11.0,2.0,5.0,8.0,3325.0,74.0,732.0,1,Holger Rune,0.8064516129032258,1.0,23.0,0.36507936507936506,36.507936507936506,80.64516129032258
237,2023-0403,Miami Masters,Hard,128,M,20230320,261,134770,3.0,0,Casper Ruud,R,183.0,NOR,24.2,125802,0.0,0,Ilya Ivashka,R,193.0,BLR,29.0,6-2 6-3,3,R64,84.0,4.0,1.0,49.0,32.0,26.0,8.0,9.0,2.0,3.0,5.0,0.0,62.0,37.0,23.0,9.0,8.0,4.0,8.0,4.0,5560.0,80.0,696.0,1,Casper Ruud,0.8125,0.6666666666666666,30.0,0.4838709677419355,48.38709677419355,81.25
238,2023-0403,Miami Masters,Hard,128,M,20230320,257,206173,10.0,0,Jannik Sinner,R,191.0,ITA,21.5,111513,0.0,0,Laslo Djere,R,188.0,SRB,27.7,6-4 6-2,3,R64,83.0,3.0,4.0,50.0,29.0,23.0,9.0,9.0,1.0,3.0,3.0,2.0,65.0,29.0,19.0,12.0,9.0,5.0,10.0,11.0,2925.0,58.0,845.0,1,Jannik Sinner,0.7931034482758621,0.3333333333333333,34.0,0.5230769230769231,52.307692307692314,79.3103448275862
239,2023-0403,Miami Masters,Hard,128,M,20230320,256,105777,21.0,0,Grigor Dimitrov,R,191.0,BUL,31.8,105526,0.0,Q,Jan Lennard Struff,R,193.0,GER,32.9,4-6 7-6(5) 6-4,3,R64,153.0,23.0,3.0,101.0,60.0,50.0,23.0,16.0,2.0,3.0,10.0,5.0,120.0,75.0,55.0,24.0,16.0,9.0,10.0,27.0,1450.0,103.0,543.0,1,Grigor Dimitrov,0.8333333333333334,0.6666666666666666,41.0,0.3416666666666667,34.166666666666664,83.33333333333334
240,2023-0403,Miami Masters,Hard,128,M,20230320,254,126094,6.0,0,Andrey Rublev,R,188.0,RUS,25.4,200670,0.0,0,J J Wolf,R,183.0,USA,24.2,7-6(3) 6-4,3,R64,101.0,16.0,1.0,73.0,39.0,33.0,17.0,11.0,5.0,6.0,7.0,3.0,71.0,44.0,31.0,15.0,11.0,5.0,7.0,7.0,3390.0,50.0,891.0,1,Andrey Rublev,0.8461538461538461,0.8333333333333334,25.0,0.352112676056338,35.2112676056338,84.61538461538461
241,2023-0403,Miami Masters,Hard,128,M,20230320,246,106421,4.0,0,Daniil Medvedev,R,198.0,RUS,27.1,106148,0.0,0,Roberto Carballes Baena,R,183.0,ESP,29.9,6-1 6-2,3,R64,62.0,3.0,1.0,47.0,31.0,24.0,11.0,8.0,1.0,1.0,2.0,1.0,37.0,20.0,12.0,6.0,7.0,0.0,4.0,5.0,4330.0,84.0,665.0,1,Daniil Medvedev,0.7741935483870968,1.0,19.0,0.5135135135135135,51.35135135135135,77.41935483870968
242,2023-0403,Miami Masters,Hard,128,M,20230320,245,200000,5.0,0,Felix Auger Aliassime,R,193.0,CAN,22.6,106329,0.0,0,Thiago Monteiro,L,183.0,BRA,28.8,7-6(5) 7-6(8),3,R64,161.0,12.0,7.0,80.0,43.0,37.0,25.0,12.0,0.0,0.0,4.0,0.0,93.0,55.0,41.0,23.0,12.0,5.0,5.0,6.0,3415.0,81.0,680.0,1,Felix Auger Aliassime,0.8604651162790697,0.0,29.0,0.3118279569892473,31.182795698924732,86.04651162790698
243,2023-0403,Miami Masters,Hard,128,M,20230320,242,126207,12.0,0,Frances Tiafoe,R,188.0,USA,25.1,133297,0.0,Q,Yosuke Watanuki,R,180.0,JPN,24.9,6-7(5) 7-6(3) 6-4,3,R64,166.0,12.0,0.0,114.0,71.0,51.0,20.0,17.0,3.0,6.0,17.0,6.0,120.0,61.0,46.0,27.0,17.0,10.0,14.0,14.0,2710.0,123.0,474.0,1,Frances Tiafoe,0.7183098591549296,0.5,47.0,0.39166666666666666,39.166666666666664,71.83098591549296
244,2023-0403,Miami Masters,Hard,128,M,20230320,238,126774,2.0,0,Stefanos Tsitsipas,R,193.0,GRE,24.6,104755,0.0,0,Richard Gasquet,R,183.0,FRA,36.7,W/O,3,R64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5770.0,40.0,960.0,1,Stefanos Tsitsipas,0.0,0.0,0.0,,,0.0
245,2023-0403,Miami Masters,Hard,128,M,20230320,208,200005,0.0,0,Ugo Humbert,L,188.0,FRA,24.7,104792,0.0,PR,Gael Monfils,R,193.0,FRA,36.5,3-3 RET,3,R128,30.0,1.0,1.0,14.0,9.0,6.0,2.0,3.0,0.0,1.0,1.0,1.0,21.0,11.0,4.0,7.0,3.0,3.0,4.0,78.0,713.0,280.0,190.0,1,Ugo Humbert,0.6666666666666666,0.0,10.0,0.47619047619047616,47.61904761904761,66.66666666666666
246,2023-7290,Estoril,Clay,32,A,20230403,300,134770,1.0,0,Casper Ruud,R,183.0,NOR,24.2,200175,6.0,0,Miomir Kecmanovic,R,183.0,SRB,23.5,6-2 7-6(3),3,F,108.0,3.0,2.0,66.0,35.0,29.0,20.0,10.0,3.0,3.0,1.0,1.0,68.0,43.0,32.0,10.0,10.0,6.0,8.0,5.0,5005.0,40.0,985.0,1,Casper Ruud,0.8285714285714286,1.0,26.0,0.38235294117647056,38.23529411764706,82.85714285714286
247,2023-7290,Estoril,Clay,32,A,20230403,299,134770,1.0,0,Casper Ruud,R,183.0,NOR,24.2,111460,0.0,0,Quentin Halys,R,191.0,FRA,26.4,6-4 3-6 7-6(2),3,SF,130.0,3.0,2.0,90.0,57.0,45.0,22.0,15.0,1.0,2.0,16.0,5.0,87.0,48.0,43.0,21.0,16.0,2.0,3.0,5.0,5005.0,80.0,691.0,1,Casper Ruud,0.7894736842105263,0.5,23.0,0.26436781609195403,26.436781609195403,78.94736842105263
248,2023-7290,Estoril,Clay,32,A,20230403,297,134770,1.0,0,Casper Ruud,R,183.0,NOR,24.2,202104,5.0,0,Sebastian Baez,R,170.0,ARG,22.2,6-3 6-0,3,QF,78.0,2.0,3.0,59.0,40.0,27.0,10.0,8.0,6.0,7.0,1.0,2.0,49.0,33.0,17.0,6.0,7.0,6.0,11.0,5.0,5005.0,32.0,1170.0,1,Casper Ruud,0.675,0.8571428571428571,26.0,0.5306122448979592,53.06122448979592,67.5
